target_text_fa	target_text	prefix	input_text
این کار را به روش خودش انجام دهد	to do it his way	xIntent	PersonX abolishes the ___ altogether
وکیلی پیدا کنید	find a lawyer	xNeed	PersonX abolishes the ___ altogether
مثل اینکه او رئیس است.	like he's the boss	xReact	PersonX abolishes the ___ altogether
برای نوشتن یک روزنامه	to write a paper	xWant	PersonX abolishes the ___ altogether
خوشحال	happy	oReact	PersonX about to get married
هیجان زده	excited	xAttr	PersonX about to get married
خوشحال	happy	oReact	PersonX accepts PersonY appointment
وابسته.	dependent.	xAttr	PersonX accepts PersonY appointment
تا شغلی داشته باشم	to have a job	xIntent	PersonX accepts PersonY appointment
برای رزرو کردن محل ملاقات	to reserve appointment space	xNeed	PersonX accepts PersonY appointment
اعتماد به نفس	confident	xReact	PersonX accepts PersonY appointment
تا از شخصی پیروی کنند.	to follow up with PersonY	xWant	PersonX accepts PersonY appointment
سپاسگزارم.	grateful	oReact	PersonX accepts PersonY thanks
پروردگارا!	gracious	xAttr	PersonX accepts PersonY thanks
برای مهربانی کردن	to be gracious	xIntent	PersonX accepts PersonY thanks
تا با حرف زدن با آقای یی	to get talk to Y	xNeed	PersonX accepts PersonY thanks
قابل تحسین	appreciated	xReact	PersonX accepts PersonY thanks
تا به او هدیه ای بدهد	to give him a treat	xWant	PersonX accepts PersonY thanks
هیجان زده	excited	oReact	PersonX accepts PersonY's proposal
کفرآميز	cooperative	xAttr	PersonX accepts PersonY's proposal
می خواهد ازدواج کند	wants to get married	xIntent	PersonX accepts PersonY's proposal
تا به امروز	to date	xNeed	PersonX accepts PersonY's proposal
خوشحال	happy	xReact	PersonX accepts PersonY's proposal
برای ازدواج	to marry	xWant	PersonX accepts PersonY's proposal
خوشحال	happy	oReact	PersonX accepts PersonY's resignation
با وجود این،	Understanding	xAttr	PersonX accepts PersonY's resignation
برای صداقت	to be sincere	xIntent	PersonX accepts PersonY's resignation
نفرت از شخصی	reprimand PersonY	xNeed	PersonX accepts PersonY's resignation
نگران بودم.	worried	xReact	PersonX accepts PersonY's resignation
خوشحال از دیدن یک انسان مهربان	happy to see a kind person	oReact	PersonX accepts one 's ___
انگیزه دار	motivated	xAttr	PersonX accepts one 's ___
برای گرفتن پول	to get paid	xWant	PersonX accepts one 's ___
لذت برده	amused	oReact	PersonX accepts the dare
آدم رذل و فرومایه ای است.	Adventurous	xAttr	PersonX accepts the dare
تا شجاعتش را ثابت کند	to prove his bravery	xIntent	PersonX accepts the dare
برای اینکه به مبارزه طلبیده شود	to be challenged	xNeed	PersonX accepts the dare
عصبی	nervous	xReact	PersonX accepts the dare
برای بدست آوردن احترام	To gain respect	xWant	PersonX accepts the dare
خواسته شده	wanted	oReact	PersonX accompanies PersonY far
سودمند	useful	xAttr	PersonX accompanies PersonY far
برای حفظ شخص و همراهان	to keep person y company	xIntent	PersonX accompanies PersonY far
برای راه رفتن با شخصی	to walk with PersonY	xNeed	PersonX accompanies PersonY far
خوشحال	happy	xReact	PersonX accompanies PersonY far
به شخص ای بگوید که تنها سفر نکند	to tell person Y not to travel alone	xWant	PersonX accompanies PersonY far
سپاسگزار	thankful	oReact	PersonX accompanies by PersonX's wife
مهربان	kind	xAttr	PersonX accompanies by PersonX's wife
برای بودن با همسر	to be with wife	xIntent	PersonX accompanies by PersonX's wife
تا همسرش را بگیرند	to get their wife	xNeed	PersonX accompanies by PersonX's wife
بسیار خوب.	fine	xReact	PersonX accompanies by PersonX's wife
برای رسیدن به مقصدشان	to get to their destination	xWant	PersonX accompanies by PersonX's wife
برای رسیدن به هدف	to reach the goal	xIntent	PersonX accomplishes PersonX's mission
برای درک ماموریتشان	to understand their mission	xNeed	PersonX accomplishes PersonX's mission
مغرور	proud	xReact	PersonX accomplishes PersonX's mission
برای تبریک گفتن به خودشان	to congratulate themselves	xWant	PersonX accomplishes PersonX's mission
از کمکتان سپاسگزارم.	grateful for the help.	oReact	PersonX accomplishes PersonY's objectives
سخت کوش	hard working	xAttr	PersonX accomplishes PersonY's objectives
برای کمک.	to help.	xIntent	PersonX accomplishes PersonY's objectives
برای صحبت با شخصی	to talk to PersonY	xNeed	PersonX accomplishes PersonY's objectives
