input_text	prefix	target_text
PersonX abuses PersonX's power	oWant	report PersonX to HR
PersonX abuses PersonX's power	oWant	get PersonX fired
PersonX abuses PersonX's power	oWant	to elect a new person
PersonX abuses PersonX's power	oWant	to depose PersonX
PersonX abuses PersonX's power	oWant	to impeach PrrsonX
PersonX abuses PersonX's power	oWant	to punish person X
PersonX abuses PersonX's power	oWant	to get rid of person X's atrocities
PersonX abuses PersonX's power	oWant	to elect another leader
PersonX abuses PersonX's power	oWant	to banish PersonX
PersonX abuses PersonX's power	oWant	to remove PersonX
PersonX abuses PersonX's power	oWant	to stop PersonX
PersonX abuses PersonX's power	oWant	to depose PersonX
PersonX abuses PersonX's power	oWant	to hurt PersonX
PersonX accepts PersonY's apology	oWant	to be forgiven
PersonX accepts PersonY's apology	oWant	to move on
PersonX accepts PersonY's apology	oWant	say sorry
PersonX accepts PersonY's apology	oWant	meet personY
PersonX accepts ___ in payment	oWant	to put the check in their account
PersonX accepts ___ in payment	oWant	to help the next person
PersonX accepts ___ in payment	oWant	none
PersonX accidentally kicked	oWant	none
PersonX accidentally kicked	oWant	none
PersonX accidentally kicked	oWant	to yell
PersonX accidentally kicked	oWant	to get back at PersonX
PersonX accidentally kicked ___	oWant	none
PersonX accidentally kicked ___	oWant	none
PersonX accidentally kicked ___	oWant	to catch PersonX
PersonX accidentally kicked ___	oWant	to make PersonX pay for the damage
PersonX accidentally poured	oWant	none
PersonX accidentally poured	oWant	none
PersonX accidentally poured	oWant	none
PersonX accidentally ran	oWant	none
PersonX accidentally ran	oWant	none
PersonX accidentally ran	oWant	none
PersonX accomplishes PersonX's ends	oWant	none
PersonX accomplishes PersonX's ends	oWant	none
PersonX accomplishes god 's ___	oWant	god wants to make a note to use person x for more plans
PersonX accomplishes god 's ___	oWant	god wants to thank person x
PersonX achieves PersonX's purpose	oWant	none
PersonX achieves PersonX's purpose	oWant	none
PersonX achieves PersonY level	oWant	to get better than him
PersonX achieves PersonY level	oWant	to put more efforts
PersonX achieves PersonY level	oWant	none
PersonX acts upon PersonY	oWant	to go out
PersonX acts upon PersonY	oWant	to express admiration
PersonX acts upon PersonY	oWant	to act back.
PersonX acts upon PersonY	oWant	to get help
PersonX acts upon PersonY	oWant	none
PersonX advances another ___	oWant	none
PersonX advances another ___	oWant	none
PersonX advertises PersonX's business	oWant	none
PersonX advertises PersonX's business	oWant	none
PersonX advertises PersonX's business	oWant	none
PersonX advertises PersonY's business	oWant	to get clients
PersonX advertises PersonY's business	oWant	to get paid for their work
PersonX advertises PersonY's business	oWant	to attract more customers
PersonX advertises PersonY's business	oWant	to return the favor
PersonX advertises PersonY's business	oWant	none
PersonX affects PersonY deeply	oWant	forgive them
PersonX affects PersonY deeply	oWant	go home
PersonX affects PersonY deeply	oWant	to be left alone
PersonX affects PersonY deeply	oWant	a closer relationship
PersonX agrees on anything	oWant	none
PersonX agrees on anything	oWant	none
PersonX agrees on anything	oWant	none
PersonX agrees on anything	oWant	none
PersonX agrees to disagree	oWant	to listen to PersonX
PersonX agrees to disagree	oWant	to make their counterclaims
PersonX agrees to disagree	oWant	avoid confrontation
PersonX agrees to disagree	oWant	end the conversation
PersonX agrees to disagree	oWant	none
PersonX also liked ___	oWant	to enjoy it
PersonX also liked ___	oWant	to talk about it
PersonX also liked ___	oWant	to enjoy his company
PersonX also liked ___	oWant	to enjoy the day with him
PersonX also stopped	oWant	none
PersonX alters PersonX's course	oWant	to check the navigation
PersonX alters PersonX's course	oWant	to enjoy the breeze
PersonX alters PersonY's course	oWant	to get frustrated
PersonX alters PersonY's course	oWant	to tell PersonY to go away
PersonX alters PersonY's course	oWant	to thank x
PersonX alters PersonY's course	oWant	to follow x's course
PersonX alters PersonY's course	oWant	to go against him
PersonX alters PersonY's course	oWant	to avoid his company
PersonX always asked	oWant	none
PersonX always asked	oWant	none
PersonX always asked	oWant	none
PersonX always asked ___	oWant	someone to do something for them
PersonX always asked ___	oWant	have someone give them an item
PersonX always beat	oWant	none
PersonX always beat	oWant	to escape
PersonX always beat	oWant	to run away
PersonX always beat	oWant	to practice more
PersonX always beat	oWant	to study more
