input_text	prefix	target_text
PersonX abuses PersonX's power	xEffect	becomes authoratarian
PersonX abuses PersonX's power	xEffect	is ostracized
PersonX abuses PersonX's power	xEffect	is relieved of position
PersonX abuses PersonX's power	xEffect	is arrested
PersonX abuses PersonX's power	xEffect	BECOME WEAK
PersonX abuses PersonX's power	xEffect	WASTE OF POWER
PersonX accepts PersonY's apology	xEffect	paid his debt
PersonX accepts PersonY's apology	xEffect	is relieved
PersonX accepts PersonY's apology	xEffect	they talk to personY more
PersonX accepts PersonY's apology	xEffect	they are respected by other people
PersonX accepts ___ in payment	xEffect	Has increased business opportunities
PersonX accepts ___ in payment	xEffect	Has more wealth
PersonX accidentally kicked	xEffect	cries
PersonX accidentally kicked	xEffect	bruises
PersonX accidentally kicked	xEffect	none
PersonX accidentally kicked	xEffect	yelps in pain
PersonX accidentally kicked	xEffect	swears under their breath
PersonX accidentally kicked ___	xEffect	gets in trouble
PersonX accidentally kicked ___	xEffect	get yelled at
PersonX accidentally kicked ___	xEffect	hurts his toes
PersonX accidentally kicked ___	xEffect	gets bit by a dog
PersonX accidentally kicked ___	xEffect	gets curseed at
PersonX accidentally kicked ___	xEffect	gets hit back
PersonX accidentally poured	xEffect	gets wet
PersonX accidentally poured	xEffect	has to start from scratch
PersonX accidentally poured	xEffect	fired
PersonX accidentally poured	xEffect	fined
PersonX accidentally ran	xEffect	he began to sweat
PersonX accidentally ran	xEffect	he became tired
PersonX accidentally ran	xEffect	PersonX is tackled by police
PersonX accidentally ran	xEffect	PersonX is taken into custody
PersonX accidentally ran	xEffect	got exercise
PersonX accidentally ran	xEffect	legs got sore
PersonX accomplishes PersonX's ends	xEffect	gets their way
PersonX accomplishes PersonX's ends	xEffect	arranges events to their liking
PersonX accomplishes PersonX's ends	xEffect	Gets praised
PersonX accomplishes PersonX's ends	xEffect	Gets trophy
PersonX accomplishes god 's ___	xEffect	prays to god
PersonX accomplishes god 's ___	xEffect	kneels to god
PersonX accomplishes god 's ___	xEffect	receives praise
PersonX accomplishes god 's ___	xEffect	moves up in religious circle
PersonX achieves PersonX's purpose	xEffect	gets laid off
PersonX achieves PersonX's purpose	xEffect	gets paid
PersonX achieves PersonX's purpose	xEffect	none
PersonX achieves PersonX's purpose	xEffect	none
PersonX achieves PersonY level	xEffect	Tries to get a better job
PersonX achieves PersonY level	xEffect	Tries harder to achieve a level better than Y level
PersonX achieves PersonY level	xEffect	celebrates
PersonX achieves PersonY level	xEffect	gloats
PersonX achieves PersonY level	xEffect	They celebrate
PersonX achieves PersonY level	xEffect	They strive to surpass Y
PersonX acts upon PersonY	xEffect	is silent
PersonX acts upon PersonY	xEffect	is prudent
PersonX acts upon PersonY	xEffect	shakes their head
PersonX acts upon PersonY	xEffect	tries to keep their balance
PersonX advances another ___	xEffect	walk forward towards the shop
PersonX advances another ___	xEffect	turns a corner to peak around it
PersonX advances another ___	xEffect	has arrived somewhere
PersonX advances another ___	xEffect	gives up
PersonX advances another ___	xEffect	sees something in the distance
PersonX advances another ___	xEffect	hears a twig snap
PersonX advertises PersonX's business	xEffect	smiles at own accomplishment and effort
PersonX advertises PersonX's business	xEffect	gets multiple calls from large companies
PersonX advertises PersonX's business	xEffect	PersonX increases profit
PersonX advertises PersonX's business	xEffect	PersonX smiles
PersonX advertises PersonY's business	xEffect	is given a payment for service
PersonX advertises PersonY's business	xEffect	expands his business
PersonX advertises PersonY's business	xEffect	earns a profit
PersonX advertises PersonY's business	xEffect	approached by other businesses
PersonX advertises PersonY's business	xEffect	gets paid
PersonX advertises PersonY's business	xEffect	gets calls
PersonX affects PersonY deeply	xEffect	PersonX gains PersonY's love and admiration.
PersonX affects PersonY deeply	xEffect	PersonY asks PersonX to be in a relationship.
PersonX affects PersonY deeply	xEffect	talks passionately
PersonX affects PersonY deeply	xEffect	uses gestures
PersonX agrees on anything	xEffect	none
PersonX agrees on anything	xEffect	none
PersonX agrees to disagree	xEffect	becomes awkward
PersonX agrees to disagree	xEffect	gets a chance to prove himself
PersonX agrees to disagree	xEffect	confusing to say
PersonX agrees to disagree	xEffect	making fun
PersonX agrees to disagree	xEffect	supporting
PersonX agrees to disagree	xEffect	helping friend
PersonX agrees to disagree	xEffect	maintains position
PersonX agrees to disagree	xEffect	earns respect
PersonX also liked ___	xEffect	none
PersonX also liked ___	xEffect	PersonX taught others
PersonX also liked ___	xEffect	PersonX started to get bored
PersonX also liked ___	xEffect	PersonX sweats from nervousness around PersonY
PersonX also liked ___	xEffect	PersonX smiles at the thought of PersonY
PersonX also stopped	xEffect	PersonX freezes all muscles
PersonX also stopped	xEffect	PersonX sweats from nervousness
PersonX also stopped	xEffect	looks around
PersonX also stopped	xEffect	creates backup
PersonX also stopped	xEffect	was prohibited from going forward
PersonX also stopped	xEffect	became lost
PersonX alters PersonX's course	xEffect	Person x goes to a new destination
PersonX alters PersonX's course	xEffect	Person x becomes lost
PersonX alters PersonX's course	xEffect	reads a street sign
PersonX alters PersonX's course	xEffect	puts their hands in their pockets
PersonX alters PersonX's course	xEffect	walks down a road for several blocks
PersonX alters PersonX's course	xEffect	takes a right turn
PersonX alters PersonY's course	xEffect	none
PersonX alters PersonY's course	xEffect	none
PersonX always asked	xEffect	gets confused
PersonX always asked	xEffect	learns new skill
PersonX always asked ___	xEffect	is looked down upon
PersonX always asked ___	xEffect	is avoided
PersonX always asked ___	xEffect	PersonX is a creature of habit
PersonX always asked ___	xEffect	PersonX learns a new routine
PersonX always beat	xEffect	walks with their head up
PersonX always beat	xEffect	doesn't talk to anyone
PersonX always beat	xEffect	none
PersonX always beat	xEffect	gets congratulated
PersonX always beat	xEffect	wins something
PersonX always beat ___	xEffect	gets called an over achiever
PersonX always beat ___	xEffect	gets asked for advice
PersonX always beat ___	xEffect	none
PersonX always goes	xEffect	They head out the door
PersonX always goes	xEffect	They meet their friends
PersonX always goes	xEffect	gets exercise
PersonX always goes	xEffect	takes bath
PersonX always made	xEffect	none
PersonX always made	xEffect	follows a recipe
PersonX always made	xEffect	eats
PersonX always made	xEffect	none
PersonX always made ___	xEffect	surprises nobody
PersonX always made ___	xEffect	is seen as dependable
PersonX always made ___	xEffect	none
PersonX always made ___	xEffect	provides security for person Y
PersonX always made ___	xEffect	strengthens friendship with person Y
PersonX always makes	xEffect	none
PersonX always makes	xEffect	none
PersonX always makes ___	xEffect	PersonX starts a tradition
PersonX always makes ___	xEffect	PersonX forms a routine
PersonX always makes ___	xEffect	Becomes validectorian
PersonX always makes ___	xEffect	Gets nicknamed after the one thing
PersonX always makes ___	xEffect	gets tired of being consistent
PersonX always makes ___	xEffect	ponders if there is other options
PersonX always worked	xEffect	ices back
PersonX always worked	xEffect	massages knees
PersonX announces PersonX's decision	xEffect	proves himself to be bold
PersonX announces PersonX's decision	xEffect	becomes a role model for others.
PersonX announces PersonX's decision	xEffect	has a serious look
PersonX announces PersonX's decision	xEffect	wonder's what they think
PersonX announces PersonY's decision	xEffect	gets asked questions
PersonX announces PersonY's decision	xEffect	hears murmurs
PersonX announces PersonY's decision	xEffect	is asked questions
PersonX announces PersonY's decision	xEffect	is engaged in conversation
PersonX announces PersonY's decision	xEffect	see's what they think
PersonX announces PersonY's decision	xEffect	hope's it's the right decision
PersonX answers this ___ in the negative	xEffect	sees frowns
PersonX answers this ___ in the negative	xEffect	is asked to explain his answer
PersonX answers this ___ in the negative	xEffect	gets criticized
PersonX answers this ___ in the negative	xEffect	gets punished
PersonX answers this ___ in the negative	xEffect	shakes head
PersonX answers this ___ in the negative	xEffect	drops head
PersonX applies for jobs	xEffect	gets a new job
PersonX applies for jobs	xEffect	gets rejected from a job
PersonX applies for jobs	xEffect	gets an interview
PersonX applies for jobs	xEffect	gets hired
PersonX applies for jobs	xEffect	She gets a job as manager.
PersonX applies for jobs	xEffect	She makes $1 million/year.
PersonX applies to jobs	xEffect	gets called for an interview
PersonX applies to jobs	xEffect	gets numerous rejection mails
PersonX applies to jobs	xEffect	GETTING OFFER FROM MORE COMPANY
PersonX applies to jobs	xEffect	GETTING A NEW JOB
PersonX applies to jobs	xEffect	gets hired
PersonX applies to jobs	xEffect	makes more money
PersonX appoints a ___ to investigate	xEffect	Gets tired
PersonX appoints a ___ to investigate	xEffect	Gets a back pain
PersonX appoints a ___ to investigate	xEffect	gets attacked
PersonX appoints a ___ to investigate	xEffect	gets threatened
PersonX arches PersonY back	xEffect	none
PersonX arches PersonY back	xEffect	leaps
PersonX arches PersonY back	xEffect	lands on feet
PersonX arches PersonY's back	xEffect	none
PersonX arches PersonY's back	xEffect	none
PersonX arches PersonY's back	xEffect	none
PersonX arches PersonY's body	xEffect	feels sexy
PersonX arches PersonY's body	xEffect	scratches back
PersonX argues with PersonX's boyfriend	xEffect	Yells
PersonX argues with PersonX's boyfriend	xEffect	Throw things
PersonX argues with PersonX's boyfriend	xEffect	calm down
PersonX argues with PersonX's boyfriend	xEffect	drink water
PersonX argues with PersonX's boyfriend	xEffect	get relax
PersonX argues with PersonX's boyfriend	xEffect	explain situation
PersonX argues with PersonX's boyfriend	xEffect	get into a fight
PersonX argues with PersonX's boyfriend	xEffect	stop talking to the person
PersonX argues with PersonY's boyfriend	xEffect	points his finger
PersonX argues with PersonY's boyfriend	xEffect	face gets red
PersonX argues with PersonY's boyfriend	xEffect	voice raises
PersonX argues with PersonY's boyfriend	xEffect	hands flail
PersonX argues with PersonY's boyfriend	xEffect	red face
PersonX argues with PersonY's boyfriend	xEffect	heart beats up
PersonX arrives ___ from work	xEffect	sees their family
PersonX arrives ___ from work	xEffect	has some downtime
PersonX arrives ___ from work	xEffect	greetted
PersonX arrives ___ from work	xEffect	licked by dog
PersonX arrives at PersonX's destination	xEffect	none
PersonX arrives at PersonX's destination	xEffect	Gets out of car
PersonX arrives at PersonX's destination	xEffect	Goes inside his destination place
PersonX arrives at PersonX's destination	xEffect	completes trip
PersonX arrives at PersonX's destination	xEffect	gets out of car
PersonX arrives soon	xEffect	gets somewhere
PersonX arrives soon	xEffect	anticipates events
PersonX arrives soon	xEffect	races down the road
PersonX arrives soon	xEffect	takes of seatbelt
PersonX arrives soon	xEffect	finally gets there
PersonX arrives soon	xEffect	awaits the arrival of others
PersonX asks PersonX's dad for help	xEffect	listens to advice
PersonX asks PersonX's dad for help	xEffect	applies advice
PersonX asks PersonX's dad for help	xEffect	awaits the consent
PersonX asks PersonX's dad for help	xEffect	looks forward to receiving the help
PersonX asks PersonX's doctor	xEffect	none
PersonX asks PersonX's doctor	xEffect	gets a response
PersonX asks PersonX's doctor	xEffect	has to follow a regime
PersonX asks PersonX's doctor	xEffect	none
PersonX asks PersonX's grandmother	xEffect	gets infomation
PersonX asks PersonX's grandmother	xEffect	gets help
PersonX asks PersonX's little brother	xEffect	To do his homework
PersonX asks PersonX's little brother	xEffect	Offers money
PersonX asks PersonX's little brother	xEffect	gets an answer
PersonX asks PersonX's little brother	xEffect	discusses the problem
PersonX asks PersonX's sister	xEffect	Shows concern about subject
PersonX asks PersonX's sister	xEffect	Relies upon sister for truth
PersonX asks PersonX's sister	xEffect	finds out information
PersonX asks PersonX's sister	xEffect	gets a clue on where to look for more info
PersonX asks PersonX's sister	xEffect	gets an answer
PersonX asks PersonX's sister	xEffect	gains information
PersonX asks PersonY for money	xEffect	PersonX gets reimbursed
PersonX asks PersonY for money	xEffect	PersonX is paid back
PersonX asks PersonY for money	xEffect	TO ENJOY
PersonX asks PersonY for money	xEffect	TO BE HAPPY
PersonX asks PersonY for money	xEffect	PersonX gets money
PersonX asks PersonY for money	xEffect	PersonX does not get any money
PersonX asks PersonY to bring	xEffect	move his mouth
PersonX asks PersonY to bring	xEffect	get an answer
PersonX asks PersonY to bring	xEffect	none
PersonX asks PersonY to bring	xEffect	person x gets what they want
PersonX asks PersonY to bring	xEffect	person x doesn't get what he wants
PersonX asks PersonY to pray	xEffect	PersonX says their prayers
PersonX asks PersonY to pray	xEffect	PersonX communes with God
PersonX asks PersonY to pray	xEffect	none
PersonX asks PersonY to pray	xEffect	to makes pray
PersonX asks PersonY to pray	xEffect	to pray to god
PersonX asks PersonY to read	xEffect	is entertained
PersonX asks PersonY to read	xEffect	is informed
PersonX asks PersonY to read	xEffect	none
PersonX asks PersonY to sit	xEffect	none
PersonX asks PersonY to sit	xEffect	was angry
PersonX asks PersonY to sit	xEffect	wanted  Person Y to listen
PersonX asks PersonY to sit	xEffect	none
PersonX asks PersonY to sit down	xEffect	can see over person y
PersonX asks PersonY to sit down	xEffect	can start class
PersonX asks PersonY to sit down	xEffect	none
PersonX asks PersonY to sit down	xEffect	none
PersonX asks PersonY to speak	xEffect	gives a round of applause
PersonX asks PersonY to speak	xEffect	calls out PersonYs name
PersonX asks PersonY to speak	xEffect	congratulated for job well done
PersonX asks PersonY to speak	xEffect	gets another job
PersonX asks PersonY to speak	xEffect	waits to hear
PersonX asks PersonY to speak	xEffect	applauds
PersonX asks PersonY to try	xEffect	gets thanked
PersonX asks PersonY to try	xEffect	gets yelled at
PersonX asks PersonY to try	xEffect	none
PersonX asks PersonY to try	xEffect	sighs in frustration
PersonX asks PersonY to try	xEffect	gets yelled at
PersonX asks PersonY to visit	xEffect	personX gets a response
PersonX asks PersonY to visit	xEffect	personX is visited
PersonX asks PersonY to visit	xEffect	is hopeful to see them
PersonX asks PersonY to visit	xEffect	wants to cook a good meal for them
PersonX asks PersonY's dad	xEffect	gets to go with
PersonX asks PersonY's dad	xEffect	gets an answer
PersonX asks PersonY's dad	xEffect	none
PersonX asks PersonY's dad for help	xEffect	receives assistance
PersonX asks PersonY's dad for help	xEffect	gains knowledge or aid
PersonX asks PersonY's dad for help	xEffect	to complete the work
PersonX asks PersonY's dad for help	xEffect	gets complete
PersonX asks PersonY's dad for help	xEffect	TO WILL SHACKED
PersonX asks PersonY's dad for help	xEffect	TO CONTAIN
PersonX asks PersonY's dad for help	xEffect	NONE
PersonX asks PersonY's dad for help	xEffect	NONE
PersonX asks PersonY's doctor	xEffect	gets doctor's opinion
PersonX asks PersonY's doctor	xEffect	learns about PersonY
PersonX asks PersonY's doctor	xEffect	OUR SOCIETY GOOD NAME OF OUR CARRIER
PersonX asks PersonY's grandmother	xEffect	gets a refusal
PersonX asks PersonY's grandmother	xEffect	sees her thinking
PersonX asks PersonY's grandmother	xEffect	gets excited
PersonX asks PersonY's grandmother	xEffect	receives new information
PersonX asks PersonY's grandmother	xEffect	notices delay in response
PersonX asks PersonY's grandmother	xEffect	remembers hearing the story before
PersonX asks PersonY's grandmother	xEffect	notices confusion
PersonX asks PersonY's little brother	xEffect	see's what happened
PersonX asks PersonY's little brother	xEffect	laughs
PersonX asks PersonY's little brother	xEffect	gets no answer
