	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	index	prefix	input_text	target_text	input_text_fa	target_text_fa	natural	natural_fa	natural_input_text_en	natural_target_text	natural_input_text_fa	natural_target_text_fa
0	0	0	0	0	0	xIntent	PersonX uses PersonX's ___ to obtain	to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	داشتن یک مزیت	PersonX uses PersonX's ___ to obtain. PersonX intends to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد یک مزیت داشته باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد یک مزیت داشته باشد
1	1	1	1	1	1	xIntent	PersonX uses PersonX's ___ to obtain	to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	تحقق آرزو	PersonX uses PersonX's ___ to obtain. PersonX intends to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد آرزویی را برآورده کند	PersonX uses PersonX's ___ to obtain	 PersonX intends to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد آرزویی را برآورده کند
2	2	2	2	2	2	xIntent	PersonX uses PersonX's ___ to obtain	to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	برای نجات از دردسر	PersonX uses PersonX's ___ to obtain. PersonX intends to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد از مشکلات خارج شود	PersonX uses PersonX's ___ to obtain	 PersonX intends to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد از مشکلات خارج شود
3	3	3	3	3	3	xIntent	PersonX uses PersonX's ___ to obtain	to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	قدرتمند بودن	PersonX uses PersonX's ___ to obtain. PersonX intends to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد قدرتمند باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد قدرتمند باشد
4	4	4	4	4	4	xIntent	PersonX uses PersonX's ___ to obtain	to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	تأثیرگذار بودن	PersonX uses PersonX's ___ to obtain. PersonX intends to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد تأثیرگذار باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد تأثیرگذار باشد
5	5	5	5	5	5	xIntent	PersonX changes men 's ___	to reform men with a bad attitude.	PersonX مردان را ___ تغییر می دهد	اصلاح مردان با نگرش بد.	PersonX changes men 's ___. PersonX intends to reform men with a bad attitude.	PersonX ___ مردان را تغییر می دهد. PersonX قصد دارد مردان را با نگرش بد اصلاح کند.	PersonX changes men 's ___	 PersonX intends to reform men with a bad attitude	PersonX ___ مردان را تغییر می دهد	 PersonX قصد دارد مردان را با نگرش بد اصلاح کند
6	6	6	6	6	6	xIntent	PersonX changes men 's ___	good about themselves	PersonX مردان را ___ تغییر می دهد	خوب در مورد خودشان	PersonX changes men 's ___. PersonX intends good about themselves	PersonX ___ مردان را تغییر می دهد. PersonX قصد خوبی در مورد خود دارد	PersonX changes men 's ___	 PersonX intends good about themselves	PersonX ___ مردان را تغییر می دهد	 PersonX قصد خوبی در مورد خود دارد
7	7	7	7	7	7	xIntent	PersonX thanks ___ for PersonY's assistance	to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند	محترم بودن	PersonX thanks ___ for PersonY's assistance. PersonX intends to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد احترام بگذارد	PersonX thanks ___ for PersonY's assistance	 PersonX intends to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد احترام بگذارد
8	8	8	8	8	8	xIntent	PersonX thanks ___ for PersonY's assistance	to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند	برای قدردانی	PersonX thanks ___ for PersonY's assistance. PersonX intends to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد قدردانی کند	PersonX thanks ___ for PersonY's assistance	 PersonX intends to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد قدردانی کند
9	9	9	9	9	9	xIntent	PersonX thanks ___ for PersonY's assistance	to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند	مودب بودن	PersonX thanks ___ for PersonY's assistance. PersonX intends to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد مودب باشد	PersonX thanks ___ for PersonY's assistance	 PersonX intends to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد مودب باشد
