id	prefix	input_text	top	input_text_fa	target_text_fa	pred1_score	pred_text1	nli_group	top	all_preds	target_text
47922.0	xIntent	PersonX accepts happily	none	PersonX با خوشحالی قبول می کند	هیچ یک	1.0	none	entailment	none	none<br />none.<br />help<br />noney<br />	none<br />to take the opportunity
22604.0	xIntent	PersonX bears the brunt	none	PersonX متحمل سنگینی می شود	هیچ یک	1.0	none	entailment	none	none<br />none.<br />help<br /><br />social	none
32723.0	xIntent	PersonX babysits PersonY's nephew	none	PersonX برادرزاده PersonY را نگهداری می کند	هیچ یک	1.0	none	entailment	none	none<br />none.<br />help<br /><br />social	to make extra money.<br />none<br />to help persony
53295.0	xIntent	PersonX acts weird	none	PersonX عجیب عمل می کند	هیچ یک	1.0	none	entailment	none	none<br />none.<br />help<br /><br />social	none<br />attention<br />to be wacky
76186.0	xIntent	PersonX asks PersonX's mother for help	help	PersonX از مادر PersonX کمک می خواهد	کمک	1.0	help	entailment	help	none<br />none.<br />help<br /><br />social	advice<br />help<br />to get it right<br />to learn
10614.0	xIntent	PersonX asks PersonY to make	help	PersonX از PersonY می خواهد که بسازد	کمک	1.0	help	entailment	help	none<br />none.<br />help<br /><br />social	help<br />to order something<br />support
32965.0	xIntent	PersonX babysits PersonX's nephew	to help	PersonX برادرزاده PersonX را نگهداری می کند	برای کمک به	0.86	help	entailment	to help	none<br />none.<br />help<br /><br />social	to help<br />to practice<br />to help a sibling
41666.0	xIntent	PersonX asks ___ if PersonY could have one	to help	PersonX از ___ می پرسد آیا PersonY می تواند یکی داشته باشد	برای کمک به	0.86	help	entailment	to help	none<br />none.<br />help<br /><br />social	to help<br />them to have one too<br />to try some fish
32070.0	xIntent	PersonX asks PersonX's boyfriend	needs help	PersonX از دوست پسر PersonX می پرسد	کمک نیاز دارد	0.86	help	entailment	needs help	none<br />none.<br />help<br /><br />social	to know the truth<br />needs help
8735.0	xIntent	PersonX answers PersonY question	helpful	PersonX به پرسش PersonY پاسخ می دهد	مفید	0.86	help	entailment	helpful	none<br />none.<br />help<br />noney<br />	helpful<br />share knowledge<br />to teach<br />to help person.<br />to give out advice
74750.0	xIntent	PersonX beats PersonX's swords into ploughshares	mean	PersonX شمشیرهای PersonX را به گاو آهن می زند	منظور داشتن	0.69		neutral	mean	none<br />none.<br />help<br /><br />social	mean<br />to destroy it
66656.0	xIntent	PersonX asks ___ for one	one	PersonX از ___ یک درخواست می کند	یکی	0.64		entailment	one	none<br />none.<br />help<br /><br />social	to ask for something.<br />one
53703.0	xIntent	PersonX asks the teacher	explanations	PersonX از معلم می پرسد	توضیحات	0.63		neutral	explanations	none<br />none.<br />help<br /><br />social	to clarify something<br />to get an opinion<br />to know the answer<br />explanations
