prefix	input_text	target_text
xIntent	PersonX adds ___ to PersonX's collection	to add his comic book collection
xIntent	PersonX adds ___ to PersonX's collection	to expand the collection
xIntent	PersonX adds ___ to PersonX's collection	to add to a collection
xIntent	PersonX announces to everyone	everyone to know
xIntent	PersonX announces to everyone	to make sure everyone knows they know
xIntent	PersonX announces to everyone	everyone to know
xIntent	PersonX boils some water	to have hot water
xIntent	PersonX boils some water	hot water
xIntent	PersonX boils some water	to drink a hot water
xIntent	PersonX boils water for minutes	to have clean water
