input_text	prefix	target_text
PersonX abuses PersonX's power	oReact	humiliated
PersonX abuses PersonX's power	oReact	sad
PersonX abuses PersonX's power	oReact	angry
PersonX abuses PersonX's power	oReact	cheated
PersonX accepts PersonY's apology	oReact	happy
PersonX accepts PersonY's apology	oReact	grateful
PersonX accepts ___ in payment	oReact	none
PersonX accidentally kicked	oReact	none
PersonX accidentally kicked	oReact	none
PersonX accidentally kicked	oReact	none
PersonX accidentally kicked ___	oReact	none
PersonX accidentally kicked ___	oReact	none
PersonX accidentally kicked ___	oReact	sorry for him
PersonX accidentally poured	oReact	none
PersonX accidentally poured	oReact	none
PersonX accidentally poured	oReact	none
PersonX accidentally ran	oReact	none
PersonX accidentally ran	oReact	none
PersonX accomplishes PersonX's ends	oReact	none
PersonX accomplishes god 's ___	oReact	none
PersonX accomplishes god 's ___	oReact	none
PersonX accomplishes god 's ___	oReact	none
PersonX achieves PersonX's purpose	oReact	grateful
PersonX achieves PersonX's purpose	oReact	none
PersonX achieves PersonX's purpose	oReact	none
PersonX achieves PersonY level	oReact	good.
PersonX achieves PersonY level	oReact	none
PersonX acts upon PersonY	oReact	none
PersonX advances another ___	oReact	happy
PersonX advertises PersonX's business	oReact	none
PersonX advertises PersonX's business	oReact	none
PersonX advertises PersonX's business	oReact	informed of personx's buisness
PersonX advertises PersonY's business	oReact	grateful
PersonX advertises PersonY's business	oReact	satsfied
PersonX advertises PersonY's business	oReact	eager
PersonX advertises PersonY's business	oReact	happy.
PersonX affects PersonY deeply	oReact	inspired
PersonX agrees on anything	oReact	powerful
PersonX agrees on anything	oReact	friendly
PersonX agrees on anything	oReact	catered to
PersonX agrees to disagree	oReact	satisfied
PersonX agrees to disagree	oReact	none
PersonX also liked ___	oReact	none
PersonX also liked ___	oReact	accepted
PersonX also stopped	oReact	unhappy
PersonX also stopped	oReact	none
PersonX alters PersonX's course	oReact	none
PersonX alters PersonX's course	oReact	none
PersonX alters PersonY's course	oReact	grateful
PersonX always asked	oReact	annoyed.
PersonX always asked	oReact	none
PersonX always asked ___	oReact	none
PersonX always asked ___	oReact	bothered
PersonX always asked ___	oReact	bugged
PersonX always beat	oReact	none
PersonX always beat	oReact	none
PersonX always beat ___	oReact	sad
PersonX always beat ___	oReact	none
PersonX always goes	oReact	none
PersonX always goes	oReact	none
PersonX always made	oReact	none
PersonX always made	oReact	none
PersonX always made ___	oReact	they got good advice
PersonX always made ___	oReact	none
PersonX always made ___	oReact	none
PersonX always makes	oReact	none
PersonX always makes ___	oReact	none
PersonX always makes ___	oReact	none
PersonX always worked	oReact	none
PersonX always worked	oReact	none
PersonX announces PersonX's decision	oReact	enlightened
PersonX announces PersonX's decision	oReact	none
