	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	index	prefix	input_text	target_text	input_text_fa	target_text_fa	natural	natural_fa	natural_input_text_en	natural_target_text	natural_input_text_fa	natural_target_text_fa
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4442	4442	xIntent	PersonX returns to PersonX's work	to keep their job	PersonX به کار PersonX برمی گردد	برای حفظ شغل خود	PersonX returns to PersonX's work. PersonX intends to keep their job	PersonX به کار PersonX برمی گردد. PersonX قصد دارد شغل خود را حفظ کند	PersonX returns to PersonX's work	 PersonX intends to keep their job	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد شغل خود را حفظ کند
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4443	4443	xIntent	PersonX returns to PersonX's work	to earn money	PersonX به کار PersonX برمی گردد	برای به دست آوردن پول	PersonX returns to PersonX's work. PersonX intends to earn money	PersonX به کار PersonX برمی گردد. PersonX قصد دارد درآمد کسب کند	PersonX returns to PersonX's work	 PersonX intends to earn money	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد درآمد کسب کند
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4444	4444	xIntent	PersonX returns to PersonX's work	to finish their work	PersonX به کار PersonX برمی گردد	کارشان را تمام کنند	PersonX returns to PersonX's work. PersonX intends to finish their work	PersonX به کار PersonX برمی گردد. PersonX قصد دارد کار خود را به پایان برساند	PersonX returns to PersonX's work	 PersonX intends to finish their work	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد کار خود را به پایان برساند
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4445	4445	xIntent	PersonX returns to PersonX's work	to work	PersonX به کار PersonX برمی گردد	برای کار	PersonX returns to PersonX's work. PersonX intends to work	PersonX به کار PersonX برمی گردد. PersonX قصد دارد کار کند	PersonX returns to PersonX's work	 PersonX intends to work	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد کار کند
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4446	4446	xIntent	PersonX paints PersonX's portrait	to create art	PersonX پرتره PersonX را نقاشی می کند	برای خلق هنر	PersonX paints PersonX's portrait. PersonX intends to create art	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد خلق هنر دارد	PersonX paints PersonX's portrait	 PersonX intends to create art	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد خلق هنر دارد
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4447	4447	xIntent	PersonX paints PersonX's portrait	to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند	تا مردم به آنها توجه کنند	PersonX paints PersonX's portrait. PersonX intends to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد تا مردم به آنها توجه کنند	PersonX paints PersonX's portrait	 PersonX intends to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد تا مردم به آنها توجه کنند
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4448	4448	xIntent	PersonX paints PersonX's portrait	to practice his craft	PersonX پرتره PersonX را نقاشی می کند	تا حرفه خود را تمرین کند	PersonX paints PersonX's portrait. PersonX intends to practice his craft	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد کار خود را تمرین کند	PersonX paints PersonX's portrait	 PersonX intends to practice his craft	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد کار خود را تمرین کند
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4449	4449	xIntent	PersonX paints PersonX's portrait	to try something new	PersonX پرتره PersonX را نقاشی می کند	چیز جدیدی را امتحان کنید	PersonX paints PersonX's portrait. PersonX intends to try something new	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد چیز جدیدی را امتحان کند	PersonX paints PersonX's portrait	 PersonX intends to try something new	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد چیز جدیدی را امتحان کند
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	4450	4450	xIntent	PersonX paints PersonX's portrait	to capture his beauty	PersonX پرتره PersonX را نقاشی می کند	تا زیبایی او را به تصویر بکشد	PersonX paints PersonX's portrait. PersonX intends to capture his beauty	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد زیبایی او را به تصویر بکشد	PersonX paints PersonX's portrait	 PersonX intends to capture his beauty	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد زیبایی او را به تصویر بکشد
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4451	4451	xIntent	PersonX paints PersonX's portrait	to express himself	PersonX پرتره PersonX را نقاشی می کند	خودش را بیان کند	PersonX paints PersonX's portrait. PersonX intends to express himself	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد خودش را بیان کند	PersonX paints PersonX's portrait	 PersonX intends to express himself	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد خودش را بیان کند
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4452	4452	xIntent	PersonX publishes PersonY's work	to help.	PersonX کارهای PersonY را منتشر می کند	برای کمک به.	PersonX publishes PersonY's work. PersonX intends to help.	PersonX کارهای PersonY را منتشر می کند. PersonX قصد کمک دارد.	PersonX publishes PersonY's work	 PersonX intends to help	PersonX کارهای PersonY را منتشر می کند	 PersonX قصد کمک دارد
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	4453	4453	xIntent	PersonX publishes PersonY's work	to make money	PersonX کارهای PersonY را منتشر می کند	پول در آوردن	PersonX publishes PersonY's work. PersonX intends to make money	PersonX کارهای PersonY را منتشر می کند. PersonX قصد دارد درآمد کسب کند	PersonX publishes PersonY's work	 PersonX intends to make money	PersonX کارهای PersonY را منتشر می کند	 PersonX قصد دارد درآمد کسب کند
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	4454	4454	xIntent	PersonX browses PersonY's collection	to get to know y	PersonX مجموعه PersonY را مرور می کند	برای شناختن y	PersonX browses PersonY's collection. PersonX intends to get to know y	PersonX مجموعه PersonY را مرور می کند. PersonX قصد دارد y را بشناسد	PersonX browses PersonY's collection	 PersonX intends to get to know y	PersonX مجموعه PersonY را مرور می کند	 PersonX قصد دارد y را بشناسد
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	4455	4455	xIntent	PersonX browses PersonY's collection	to satisfy his curiousity	PersonX مجموعه PersonY را مرور می کند	تا کنجکاوی او را برآورده کند	PersonX browses PersonY's collection. PersonX intends to satisfy his curiousity	PersonX مجموعه PersonY را مرور می کند. PersonX قصد دارد کنجکاوی خود را برآورده کند	PersonX browses PersonY's collection	 PersonX intends to satisfy his curiousity	PersonX مجموعه PersonY را مرور می کند	 PersonX قصد دارد کنجکاوی خود را برآورده کند
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	4456	4456	xIntent	PersonX browses PersonY's collection	to be nosey	PersonX مجموعه PersonY را مرور می کند	فضول بودن	PersonX browses PersonY's collection. PersonX intends to be nosey	PersonX مجموعه PersonY را مرور می کند. PersonX قصد دارد فضول باشد	PersonX browses PersonY's collection	 PersonX intends to be nosey	PersonX مجموعه PersonY را مرور می کند	 PersonX قصد دارد فضول باشد
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	4457	4457	xIntent	PersonX browses PersonY's collection	to see what persony likes	PersonX مجموعه PersonY را مرور می کند	تا ببیند چه شخصیتی را دوست دارد	PersonX browses PersonY's collection. PersonX intends to see what persony likes	PersonX مجموعه PersonY را مرور می کند. PersonX قصد دارد ببیند که چه شخصی دوست دارد	PersonX browses PersonY's collection	 PersonX intends to see what persony likes	PersonX مجموعه PersonY را مرور می کند	 PersonX قصد دارد ببیند که چه شخصی دوست دارد
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	4458	4458	xIntent	PersonX takes advantage of the opportunities	to succeed	PersonX از فرصت ها استفاده می کند	موفق شدن	PersonX takes advantage of the opportunities. PersonX intends to succeed	PersonX از فرصت ها استفاده می کند. PersonX قصد موفقیت دارد	PersonX takes advantage of the opportunities	 PersonX intends to succeed	PersonX از فرصت ها استفاده می کند	 PersonX قصد موفقیت دارد
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	4459	4459	xIntent	PersonX takes advantage of the opportunities	to get ahead	PersonX از فرصت ها استفاده می کند	جلو افتادن	PersonX takes advantage of the opportunities. PersonX intends to get ahead	PersonX از فرصت ها استفاده می کند. PersonX قصد دارد پیشی بگیرد	PersonX takes advantage of the opportunities	 PersonX intends to get ahead	PersonX از فرصت ها استفاده می کند	 PersonX قصد دارد پیشی بگیرد
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	4460	4460	xIntent	PersonX takes advantage of the opportunities	succeed at what he's pursuing	PersonX از فرصت ها استفاده می کند	در آنچه که دنبال می کند موفق شود	PersonX takes advantage of the opportunities. PersonX intends succeed at what he's pursuing	PersonX از فرصت ها استفاده می کند. PersonX قصد دارد در کاری که دنبال می کند موفق شود	PersonX takes advantage of the opportunities	 PersonX intends succeed at what he's pursuing	PersonX از فرصت ها استفاده می کند	 PersonX قصد دارد در کاری که دنبال می کند موفق شود
19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	4461	4461	xIntent	PersonX gets near PersonY	to make them feel at ease	PersonX به PersonY نزدیک می شود	تا احساس راحتی کنند	PersonX gets near PersonY. PersonX intends to make them feel at ease	PersonX به PersonY نزدیک می شود. PersonX قصد دارد به آنها احساس راحتی کند	PersonX gets near PersonY	 PersonX intends to make them feel at ease	PersonX به PersonY نزدیک می شود	 PersonX قصد دارد به آنها احساس راحتی کند
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	4462	4462	xIntent	PersonX gets near PersonY	to talk about something.	PersonX به PersonY نزدیک می شود	در مورد چیزی صحبت کردن	PersonX gets near PersonY. PersonX intends to talk about something.	PersonX به PersonY نزدیک می شود. PersonX قصد دارد در مورد چیزی صحبت کند.	PersonX gets near PersonY	 PersonX intends to talk about something	PersonX به PersonY نزدیک می شود	 PersonX قصد دارد در مورد چیزی صحبت کند
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	4463	4463	xIntent	PersonX gets near PersonY	to show affection.	PersonX به PersonY نزدیک می شود	ابراز علاقه.	PersonX gets near PersonY. PersonX intends to show affection.	PersonX به PersonY نزدیک می شود. PersonX قصد دارد محبت نشان دهد.	PersonX gets near PersonY	 PersonX intends to show affection	PersonX به PersonY نزدیک می شود	 PersonX قصد دارد محبت نشان دهد
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	4464	4464	xIntent	PersonX gets near PersonY	to chat	PersonX به PersonY نزدیک می شود	گپ زدن	PersonX gets near PersonY. PersonX intends to chat	PersonX به PersonY نزدیک می شود. PersonX قصد چت دارد	PersonX gets near PersonY	 PersonX intends to chat	PersonX به PersonY نزدیک می شود	 PersonX قصد چت دارد
23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	4465	4465	xIntent	PersonX increases PersonY's power	to train	PersonX قدرت PersonY را افزایش می دهد	آموزش دادن	PersonX increases PersonY's power. PersonX intends to train	PersonX قدرت PersonY را افزایش می دهد. PersonX قصد آموزش دارد	PersonX increases PersonY's power	 PersonX intends to train	PersonX قدرت PersonY را افزایش می دهد	 PersonX قصد آموزش دارد
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	4466	4466	xIntent	PersonX increases PersonY's power	to support	PersonX قدرت PersonY را افزایش می دهد	حمایت کردن	PersonX increases PersonY's power. PersonX intends to support	PersonX قدرت PersonY را افزایش می دهد. PersonX قصد دارد پشتیبانی کند	PersonX increases PersonY's power	 PersonX intends to support	PersonX قدرت PersonY را افزایش می دهد	 PersonX قصد دارد پشتیبانی کند
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	4467	4467	xIntent	PersonX increases PersonY's power	to have power too	PersonX قدرت PersonY را افزایش می دهد	داشتن قدرت نیز	PersonX increases PersonY's power. PersonX intends to have power too	PersonX قدرت PersonY را افزایش می دهد. PersonX قصد دارد از قدرت نیز برخوردار باشد	PersonX increases PersonY's power	 PersonX intends to have power too	PersonX قدرت PersonY را افزایش می دهد	 PersonX قصد دارد از قدرت نیز برخوردار باشد
