input_text	prefix	target_text	Unnamed: 0
PersonX about to get married	xAttr	excited	
PersonX about to get married	xIntent	to share his life with someone	472037.0
PersonX about to get married	xReact	like he has someone he feels that way about	
PersonX about to get married	xWant	to live happily ever after	
PersonX absolutely loved	xAttr	caring	
PersonX absolutely loved	xIntent	to marry.	459687.0
PersonX absolutely loved	xReact	romantic.	
PersonX absolutely loved	xWant	to tell others	
PersonX absolutely loved it	xAttr	enthused	
PersonX absolutely loved it	xIntent	none	523609.0
PersonX absolutely loved it	xReact	ecstatic over his gift	
PersonX absolutely loved it	xWant	to buy more	
PersonX accepts PersonY appointment	xAttr	Booked	
PersonX accepts PersonY appointment	xIntent	to have a job	271833.0
PersonX accepts PersonY appointment	xReact	confident	
PersonX accepts PersonY appointment	xWant	to assess the appointment	
PersonX accepts PersonY thanks	xAttr	grateful	
PersonX accepts PersonY thanks	xIntent	to be gracious	116877.0
PersonX accepts PersonY thanks	xReact	appreciated	
PersonX accepts PersonY thanks	xWant	to relax	
PersonX accepts PersonY's proposal	xAttr	Trusting	
PersonX accepts PersonY's proposal	xIntent	to move on with the project	570741.0
PersonX accepts PersonY's proposal	xReact	excited	
PersonX accepts PersonY's proposal	xWant	to plan a wedding	
PersonX accepts PersonY's resignation	xAttr	Understanding	
PersonX accepts PersonY's resignation	xIntent	none	82610.0
PersonX accepts PersonY's resignation	xReact	sad	
PersonX accepts PersonY's resignation	xWant	hire the replacment	
PersonX accepts into college	xAttr	hopeful	
PersonX accepts into college	xIntent	none	530022.0
PersonX accepts into college	xReact	very happy	
PersonX accepts into college	xWant	to buy stuff for dorm room	
PersonX accepts the challenge	xAttr	brave	
PersonX accepts the challenge	xIntent	to prove they are the best	623809.0
PersonX accepts the challenge	xReact	nervous	
PersonX accepts the challenge	xWant	to train for the challenge	
PersonX accepts the dare	xAttr	Adventurous	
PersonX accepts the dare	xIntent	to prove they are not afraid	449664.0
PersonX accepts the dare	xReact	anxious	
PersonX accepts the dare	xWant	To be seen as brave	
PersonX accepts the fact	xAttr	resigned	
PersonX accepts the fact	xIntent	to move on with life	438715.0
PersonX accepts the fact	xReact	rational	
PersonX accepts the fact	xWant	to change their thinking	
PersonX accepts without question	xAttr	naive	
PersonX accepts without question	xIntent	to be generous	255948.0
PersonX accepts without question	xReact	cooperative	
PersonX accepts without question	xWant	to question something	
PersonX accidentally bumped	xAttr	clumsy	
PersonX accidentally bumped	xIntent	none	520274.0
PersonX accidentally bumped	xReact	a little clumsy	
PersonX accidentally bumped	xWant	to be more careful	
PersonX accidentally burned	xAttr	Accident prone	
PersonX accidentally burned	xIntent	none	697913.0
PersonX accidentally burned	xReact	angry	
PersonX accidentally burned	xWant	get treatment	
PersonX accidentally cut	xAttr	careless	
PersonX accidentally cut	xIntent	none	518787.0
PersonX accidentally cut	xReact	bad	
PersonX accidentally cut	xWant	to get a bandaid	
PersonX accidentally dropped	xAttr	clumsy	
PersonX accidentally dropped	xIntent	none	397938.0
PersonX accidentally dropped	xReact	bad	
PersonX accidentally dropped	xWant	unexpectedly he went a shop	
PersonX accidentally dropped it	xAttr	clumsy	
PersonX accidentally dropped it	xIntent	none	505201.0
PersonX accidentally dropped it	xReact	sad	
PersonX accidentally dropped it	xWant	to pick it up	
