input_text	prefix	target_text
PersonX abuses PersonX's power	oEffect	are told what to do
PersonX abuses PersonX's power	oEffect	given unfair consequences or punishment
PersonX abuses PersonX's power	oEffect	reach out for help
PersonX abuses PersonX's power	oEffect	none
PersonX accepts PersonY's apology	oEffect	become friends
PersonX accepts PersonY's apology	oEffect	settle the score
PersonX accepts PersonY's apology	oEffect	they don't do it again
PersonX accepts PersonY's apology	oEffect	they are well tolerated
PersonX accepts ___ in payment	oEffect	Ability to pay PersonX
PersonX accepts ___ in payment	oEffect	Increased opportunities to use Person X's services/product
PersonX accidentally kicked	oEffect	none
PersonX accidentally kicked	oEffect	none
PersonX accidentally kicked	oEffect	none
PersonX accidentally kicked ___	oEffect	none
PersonX accidentally kicked ___	oEffect	none
PersonX accidentally kicked ___	oEffect	none
PersonX accidentally poured	oEffect	none
PersonX accidentally poured	oEffect	none
PersonX accidentally ran	oEffect	none
PersonX accidentally ran	oEffect	none
PersonX accidentally ran	oEffect	none
PersonX accomplishes PersonX's ends	oEffect	none
PersonX accomplishes PersonX's ends	oEffect	none
PersonX accomplishes god 's ___	oEffect	none
PersonX accomplishes god 's ___	oEffect	none
PersonX achieves PersonX's purpose	oEffect	none
PersonX achieves PersonX's purpose	oEffect	none
PersonX achieves PersonX's purpose	oEffect	none
PersonX achieves PersonY level	oEffect	none
PersonX achieves PersonY level	oEffect	congratulates PersonX
PersonX achieves PersonY level	oEffect	tries to beat PersonX
PersonX achieves PersonY level	oEffect	They congratulate X
PersonX achieves PersonY level	oEffect	They strive to get back ahead of X
PersonX acts upon PersonY	oEffect	feel threatened
PersonX acts upon PersonY	oEffect	fight back
PersonX acts upon PersonY	oEffect	laughs
PersonX acts upon PersonY	oEffect	cries
PersonX advances another ___	oEffect	none
PersonX advances another ___	oEffect	none
PersonX advances another ___	oEffect	none
PersonX advertises PersonX's business	oEffect	none
PersonX advertises PersonX's business	oEffect	none
PersonX advertises PersonY's business	oEffect	gets more sales
PersonX advertises PersonY's business	oEffect	thanks person X
PersonX advertises PersonY's business	oEffect	expands his market
PersonX advertises PersonY's business	oEffect	makes money
PersonX advertises PersonY's business	oEffect	gets more customers
PersonX advertises PersonY's business	oEffect	gains money
PersonX affects PersonY deeply	oEffect	PersonY asks PersonX to be in a relationship.
PersonX affects PersonY deeply	oEffect	PersonY's heart beats faster.
PersonX affects PersonY deeply	oEffect	cries
PersonX affects PersonY deeply	oEffect	groans
PersonX agrees on anything	oEffect	none
PersonX agrees on anything	oEffect	none
PersonX agrees to disagree	oEffect	none
PersonX agrees to disagree	oEffect	none
PersonX agrees to disagree	oEffect	none
PersonX also liked ___	oEffect	none
PersonX also liked ___	oEffect	none
PersonX also liked ___	oEffect	none
PersonX also stopped	oEffect	none
PersonX also stopped	oEffect	none
PersonX also stopped	oEffect	none
PersonX alters PersonX's course	oEffect	none
PersonX alters PersonX's course	oEffect	none
PersonX alters PersonY's course	oEffect	none
PersonX alters PersonY's course	oEffect	none
PersonX always asked	oEffect	none
PersonX always asked ___	oEffect	none
PersonX always asked ___	oEffect	none
PersonX always beat	oEffect	none
PersonX always beat	oEffect	none
PersonX always beat	oEffect	cries
PersonX always beat	oEffect	gets defeated
PersonX always beat ___	oEffect	gets called names
PersonX always beat ___	oEffect	does not get invited again
PersonX always beat ___	oEffect	none
PersonX always goes	oEffect	none
PersonX always goes	oEffect	none
PersonX always made	oEffect	none
PersonX always made	oEffect	none
PersonX always made	oEffect	none
PersonX always made ___	oEffect	none
PersonX always made ___	oEffect	none
PersonX always made ___	oEffect	gains protection
PersonX always made ___	oEffect	gets closer with person X
PersonX always makes	oEffect	none
PersonX always makes	oEffect	none
PersonX always makes ___	oEffect	none
PersonX always makes ___	oEffect	none
PersonX always makes ___	oEffect	none
PersonX always worked	oEffect	none
PersonX announces PersonX's decision	oEffect	none
PersonX announces PersonX's decision	oEffect	is hopeful
PersonX announces PersonX's decision	oEffect	hears what they say
PersonX announces PersonY's decision	oEffect	none
PersonX announces PersonY's decision	oEffect	gets new knowledge
PersonX announces PersonY's decision	oEffect	is engaged in conversation
PersonX announces PersonY's decision	oEffect	is denied new information
PersonX announces PersonY's decision	oEffect	hears what is said
PersonX announces PersonY's decision	oEffect	acknowledges the decision
PersonX answers this ___ in the negative	oEffect	none
PersonX answers this ___ in the negative	oEffect	none
PersonX answers this ___ in the negative	oEffect	none
PersonX applies for jobs	oEffect	none
PersonX applies for jobs	oEffect	none
PersonX applies for jobs	oEffect	none
PersonX applies to jobs	oEffect	none
PersonX applies to jobs	oEffect	GIVES CHANCE TO OTHER PEOPLE
PersonX applies to jobs	oEffect	RECRUITER RECRUITS A NEW PERSON
PersonX applies to jobs	oEffect	none
PersonX appoints a ___ to investigate	oEffect	none
PersonX appoints a ___ to investigate	oEffect	none
PersonX arches PersonY back	oEffect	is made comfortable
PersonX arches PersonY back	oEffect	looks up at him
PersonX arches PersonY back	oEffect	none
PersonX arches PersonY's back	oEffect	PersonY's back pain is relieved
PersonX arches PersonY's back	oEffect	PersonY moves more freely
PersonX arches PersonY's back	oEffect	back cracks
