id	prefix	input_text	top	input_text_fa	target_text_fa	pred1_score	pred_text1	nli_group	top	all_preds	target_text
59486.0	xIntent	PersonX begs for food	to eat	PersonX برای غذا گدایی می کند	خوردن	1.0	to eat	entailment	to eat	to eat<br />food<br />to eat something<br />to eat food<br />to have food	to eat
55754.0	xIntent	PersonX attends school	to be educated	PersonX در مدرسه تحصیل می کند	تعلیم یافتن	1.0	to be educated	entailment	to be educated	to be educated<br />to learn<br />to study<br />to learn something new<br />to learn something	to get educated<br />to learn new things<br />to be educated
61373.0	xIntent	PersonX always ate ___	to be healthy	PersonX همیشه ___ می خورد	برای سالم بودن	1.0	to be healthy	entailment	to be healthy	to be healthy<br />to eat<br />to eat something<br />to eat healthy<br />to eat healthy food	to eat food to be sated<br />to enjoy the taste of chocolate<br />to be healthy<br />to not gain weight
46191.0	xIntent	PersonX always tries	to succeed	PersonX همیشه تلاش می کند	موفق شدن	1.0	to succeed	entailment	to succeed	to be successful<br />to succeed<br />to achieve something<br />to be helpful<br />to be successful.	to do their best<br />to never give up<br />to succeed<br />to give the best effor<br />to commit
40707.0	xIntent	PersonX applies to medical school	to be a doctor	PersonX برای دانشکده پزشکی اعمال می شود	دکتر بودن	1.0	to be a doctor	entailment	to be a doctor	to be educated<br />to be a doctor<br />to become a doctor<br />to get a degree<br />to study	to be a doctor<br />to be a medical doctor<br />to learn medicine.
77172.0	xIntent	PersonX arrives home	to relax	PersonX به خانه می رسد	آرام شدن	1.0	to relax	entailment	to relax	to be home<br />to go home<br />to relax<br />to rest<br />to go to work	to be at their house<br />to relax
69644.0	xIntent	PersonX arrives home from work	to rest	PersonX از محل کار به خانه می رسد	استراحت کردن	1.0	to rest	entailment	to rest	to relax<br />to be home<br />to go home<br />to rest<br />to get home	to rest<br />to get home
50873.0	xIntent	PersonX arrives to the restaurant	to eat dinner	PersonX به رستوران می رسد	شام خوردن	1.0	to eat dinner	entailment	to eat dinner	to eat<br />to have dinner<br />to eat dinner<br />to have a meal<br />to have lunch	to join his friends for dinner<br />to take food for his family<br />to have lunch with friends<br />to eat dinner<br />to meet with date
76186.0	xIntent	PersonX asks PersonX's mother for help	help	PersonX از مادر PersonX کمک می خواهد	کمک	1.0	help	entailment	help	help<br />to get help<br />to be helpful<br />to help<br />to help someone	advice<br />help<br />to get it right<br />to learn
29246.0	xIntent	PersonX asks PersonY to play	to have fun	PersonX از PersonY می خواهد بازی کند	تفریح ​​کردن	1.0	to have fun	entailment	to have fun	to have fun<br />to play<br />to be entertained<br />to play with persony<br />to have a game	to spend time with someone<br />to have fun<br />company
68270.0	xIntent	PersonX asks PersonY to say	to be helpful	PersonX از PersonY می خواهد که بگوید	مفید بودن	1.0	to be helpful	entailment	to be helpful	to be helpful<br />to tell person y something<br />to know something<br />to tell person y<br />to know	persony to talk<br />persony to tell personx something<br />persony to convey information<br />to be helpful<br />controlling
56536.0	xIntent	PersonX arrives just in time	to be on  time	PersonX به موقع می رسد	سروقت بودن	1.0	to be on time	entailment	to be on  time	to be on time<br />to be in time<br />to be prepared<br />to be there<br />to be on time.	to start the race<br />to be on  time<br />polite
22604.0	xIntent	PersonX bears the brunt	none	PersonX متحمل سنگینی می شود	هیچ یک	1.0	none	entailment	none	to be responsible<br />none<br />to be strong<br />to be a burden<br />to be in charge	none
31677.0	xIntent	PersonX accepts PersonX's diploma	to graduate	PersonX دیپلم PersonX را می پذیرد	فارغالتحصیل شدن	1.0	to graduate	entailment	to graduate	to get a degree<br />to get a job<br />to be accepted<br />to be successful<br />to graduate	to graduate from high school<br />to graduate
