Unnamed: 0	prefix	input_text	target_text
9658	oReact	PersonX abandons ___ altogether	dejected
9684	xAttr	PersonX abandons ___ altogether	undependable
9659	xIntent	PersonX abandons ___ altogether	put a stop
9679	xNeed	PersonX abandons ___ altogether	to get permission from his parents
9660	xReact	PersonX abandons ___ altogether	authoritative
9681	xWant	PersonX abandons ___ altogether	to search for a new job
15428	oReact	PersonX abandons the ___ altogether	defeat
15429	xIntent	PersonX abandons the ___ altogether	to appear not interested
15446	xNeed	PersonX abandons the ___ altogether	to get frustrated
15430	xReact	PersonX abandons the ___ altogether	pressurized
15453	xWant	PersonX abandons the ___ altogether	find another project
69790	xAttr	PersonX abolishes ___ altogether	joyful
69761	xIntent	PersonX abolishes ___ altogether	give a punishment in person
69776	xNeed	PersonX abolishes ___ altogether	to have a reason
69762	xReact	PersonX abolishes ___ altogether	he was sad
69777	xWant	PersonX abolishes ___ altogether	human to be free
42171	oReact	PersonX abolishes the ___ altogether	disrespected
42193	xAttr	PersonX abolishes the ___ altogether	dedicated
42169	xIntent	PersonX abolishes the ___ altogether	to end it
42183	xNeed	PersonX abolishes the ___ altogether	find a lawyer
42186	xWant	PersonX abolishes the ___ altogether	to write a paper
472036	oReact	PersonX about to get married	like they have a lifelong companion
472063	xAttr	PersonX about to get married	anxious
472040	xIntent	PersonX about to get married	to marry someone
472059	xNeed	PersonX about to get married	to really like them
472038	xReact	PersonX about to get married	like he has someone he feels that way about
472060	xWant	PersonX about to get married	to go on a honey moon
459686	oReact	PersonX absolutely loved	happy.
459687	xIntent	PersonX absolutely loved	to marry.
459688	xReact	PersonX absolutely loved	romantic.
559421	xAttr	PersonX absolutely loved ___	friendly
559402	xIntent	PersonX absolutely loved ___	to read
559409	xNeed	PersonX absolutely loved ___	to try it out
559403	xReact	PersonX absolutely loved ___	relaxed
559419	xWant	PersonX absolutely loved ___	to share with others
271839	oReact	PersonX accepts PersonY appointment	happy
271865	xAttr	PersonX accepts PersonY appointment	dependent.
271840	xIntent	PersonX accepts PersonY appointment	to checkup on him
271856	xNeed	PersonX accepts PersonY appointment	to reserve appointment space
271841	xReact	PersonX accepts PersonY appointment	helpful
271858	xWant	PersonX accepts PersonY appointment	to follow up with PersonY
116876	oReact	PersonX accepts PersonY thanks	grateful
116912	xAttr	PersonX accepts PersonY thanks	gracious
116877	xIntent	PersonX accepts PersonY thanks	to be gracious
116897	xNeed	PersonX accepts PersonY thanks	to get talk to Y
116878	xReact	PersonX accepts PersonY thanks	appreciated
116905	xWant	PersonX accepts PersonY thanks	to give him a treat
570736	oReact	PersonX accepts PersonY's proposal	excited
570775	xAttr	PersonX accepts PersonY's proposal	cooperative
570737	xIntent	PersonX accepts PersonY's proposal	wants to get married
570756	xNeed	PersonX accepts PersonY's proposal	to date
570739	xReact	PersonX accepts PersonY's proposal	happy
570770	xWant	PersonX accepts PersonY's proposal	to get married.
82612	oReact	PersonX accepts PersonY's resignation	happy
82636	xAttr	PersonX accepts PersonY's resignation	Understanding
82613	xIntent	PersonX accepts PersonY's resignation	to be sincere
82627	xNeed	PersonX accepts PersonY's resignation	reprimand PersonY
82611	xReact	PersonX accepts PersonY's resignation	worried
82630	xWant	PersonX accepts PersonY's resignation	shake PersonYs hand
581175	oReact	PersonX accepts ___ as PersonX's savior	all powerful
581211	xAttr	PersonX accepts ___ as PersonX's savior	thankful
581180	xIntent	PersonX accepts ___ as PersonX's savior	to put personx's faith in christ
581207	xNeed	PersonX accepts ___ as PersonX's savior	to pray
581182	xReact	PersonX accepts ___ as PersonX's savior	relieved
581209	xWant	PersonX accepts ___ as PersonX's savior	to go to heaven
56408	xNeed	PersonX accepts another ___	to assess the situation
56384	xReact	PersonX accepts another ___	he will be good at it.
24317	xAttr	PersonX accepts every ___	accepting
24287	xIntent	PersonX accepts every ___	to be agreeable
24292	xReact	PersonX accepts every ___	happy
24308	xWant	PersonX accepts every ___	recognition
530036	xNeed	PersonX accepts into college	to get good grades in high school
2561	oReact	PersonX accepts one 's ___	happy to see a kind person
2598	xAttr	PersonX accepts one 's ___	motivated
2565	xIntent	PersonX accepts one 's ___	happy because the movie was
2582	xNeed	PersonX accepts one 's ___	to apply
2584	xWant	PersonX accepts one 's ___	to work hard
623805	oReact	PersonX accepts the challenge	disappointed
623838	xAttr	PersonX accepts the challenge	apprehensive
623806	xIntent	PersonX accepts the challenge	to win
623829	xNeed	PersonX accepts the challenge	to think about it
623810	xReact	PersonX accepts the challenge	determined
623831	xWant	PersonX accepts the challenge	to prove themselves
449667	oReact	PersonX accepts the dare	amused
449697	xAttr	PersonX accepts the dare	Adventurous
449661	xIntent	PersonX accepts the dare	to prove his bravery
449691	xNeed	PersonX accepts the dare	to be challenged
449665	xReact	PersonX accepts the dare	nervous
449684	xWant	PersonX accepts the dare	To gain respect
438736	xWant	PersonX accepts the fact	to carry on with their work day
255947	oReact	PersonX accepts without question	happy and settled
255974	xAttr	PersonX accepts without question	stupid
255949	xIntent	PersonX accepts without question	to settle the issue amicably
255959	xNeed	PersonX accepts without question	to be told something
255967	xWant	PersonX accepts without question	to feel sure
565623	xReact	PersonX accidentally broke ___	clumsy
520273	oReact	PersonX accidentally bumped	like they had been stumbled into
520303	xAttr	PersonX accidentally bumped	careless
520287	xNeed	PersonX accidentally bumped	run or drive fast
697915	oReact	PersonX accidentally burned	sad
697917	xReact	PersonX accidentally burned	painfull
697931	xWant	PersonX accidentally burned	go to the hospital
560857	xAttr	PersonX accidentally knocked ___	clumsy
560828	xIntent	PersonX accidentally knocked ___	also happy satisfied
560826	xReact	PersonX accidentally knocked ___	guilty
560852	xWant	PersonX accidentally knocked ___	be more careful
447126	oReact	PersonX accidentally knocked over	annoyed
477790	xNeed	PersonX accidentally left	He looked at his watch.
565264	xAttr	PersonX accidentally threw ___	have fun
565234	xIntent	PersonX accidentally threw ___	to be interested
565232	xReact	PersonX accidentally threw ___	embarrassed
565252	xWant	PersonX accidentally threw ___	to retrieve the ball
515092	xNeed	PersonX accidentally tripped	to be clumsy.
691017	oReact	PersonX accidently left	sad
252896	oReact	PersonX accompanies PersonY far	grateful for the company
252932	xAttr	PersonX accompanies PersonY far	useful
252897	xIntent	PersonX accompanies PersonY far	to keep person y company
252895	xReact	PersonX accompanies PersonY far	happy
115748	oReact	PersonX accompanies by PersonX's wife	thankful
115776	xAttr	PersonX accompanies by PersonX's wife	sympathetic
115753	xIntent	PersonX accompanies by PersonX's wife	to be with wife
115769	xNeed	PersonX accompanies by PersonX's wife	to get their wife
115755	xReact	PersonX accompanies by PersonX's wife	fine
115771	xWant	PersonX accompanies by PersonX's wife	to get to their destination
94130	oReact	PersonX accompanies by PersonY's wife	happy
94155	xAttr	PersonX accompanies by PersonY's wife	companion
94145	xNeed	PersonX accompanies by PersonY's wife	to go to person Y's house
94132	xReact	PersonX accompanies by PersonY's wife	happy
94147	xWant	PersonX accompanies by PersonY's wife	to take her to the hospital as person Y is out of station
105087	xIntent	PersonX accomplishes PersonX's goal	to do something good for themselves
105093	xReact	PersonX accomplishes PersonX's goal	happy
105606	oReact	PersonX accomplishes PersonX's mission	grateful
105641	xAttr	PersonX accomplishes PersonX's mission	successful
105604	xIntent	PersonX accomplishes PersonX's mission	to reach the goal
105632	xNeed	PersonX accomplishes PersonX's mission	to understand their mission
105602	xReact	PersonX accomplishes PersonX's mission	good
105634	xWant	PersonX accomplishes PersonX's mission	to congratulate themselves
108423	oReact	PersonX accomplishes PersonX's purpose	great that a fellow human accomplished their purpose
108453	xAttr	PersonX accomplishes PersonX's purpose	persistent
108425	xIntent	PersonX accomplishes PersonX's purpose	to accomplish their purpose
108427	xReact	PersonX accomplishes PersonX's purpose	feels amazing since this is basically life's goal
128026	xNeed	PersonX accomplishes PersonX's purposes	to ask for guidance from someone
128027	xWant	PersonX accomplishes PersonX's purposes	to celebrate
128917	oReact	PersonX accomplishes PersonY's objectives	grateful for the help.
128947	xAttr	PersonX accomplishes PersonY's objectives	Talented
128931	xNeed	PersonX accomplishes PersonY's objectives	to come up with a plan
651165	oReact	PersonX accomplishes PersonY's work	lacking
651202	xAttr	PersonX accomplishes PersonY's work	responsible
651161	xIntent	PersonX accomplishes PersonY's work	to make sure the work is done
651163	xReact	PersonX accomplishes PersonY's work	accomplished the work was done
651187	xWant	PersonX accomplishes PersonY's work	to help person y
54905	xAttr	PersonX accomplishes the ___ at hand	reliable
54873	xIntent	PersonX accomplishes the ___ at hand	to do something
54886	xNeed	PersonX accomplishes the ___ at hand	to work hard
54871	xReact	PersonX accomplishes the ___ at hand	happy
54889	xWant	PersonX accomplishes the ___ at hand	to relax
582538	oReact	PersonX accomplishes the ___ in view	observant
582561	xAttr	PersonX accomplishes the ___ in view	talented
582539	xIntent	PersonX accomplishes the ___ in view	to show off
582540	xReact	PersonX accomplishes the ___ in view	proud
326306	oReact	PersonX accuses PersonY of cheating	angry
326339	xAttr	PersonX accuses PersonY of cheating	envious
326328	xNeed	PersonX accuses PersonY of cheating	proof of the cheating
326333	xWant	PersonX accuses PersonY of cheating	to punish
564001	oReact	PersonX accuses ___ of cheating	scared
564035	xAttr	PersonX accuses ___ of cheating	disdainful
564002	xIntent	PersonX accuses ___ of cheating	to punish someone
564025	xNeed	PersonX accuses ___ of cheating	to be in a relationship
564003	xReact	PersonX accuses ___ of cheating	angry
289024	xNeed	PersonX aces PersonX's exam	to go to the school.
289031	xWant	PersonX aces PersonX's exam	To pass the course
465424	oReact	PersonX aces the test	proud
465450	xAttr	PersonX aces the test	knowledgeable
465445	xNeed	PersonX aces the test	attend classes
465447	xWant	PersonX aces the test	enroll in dean's list
124996	oReact	PersonX achieves PersonX's aim	like they were cheated.
125001	xIntent	PersonX achieves PersonX's aim	to achieve a goal
124998	xReact	PersonX achieves PersonX's aim	confident and sucessful.
586169	xAttr	PersonX achieves PersonX's aims	accomplished
586160	xNeed	PersonX achieves PersonX's aims	to get ready to do actions.
586161	xWant	PersonX achieves PersonX's aims	to feel happy about it.
83623	oReact	PersonX achieves PersonX's objectives	grateful
83648	xAttr	PersonX achieves PersonX's objectives	smart
83627	xIntent	PersonX achieves PersonX's objectives	to be acomplished.
83644	xNeed	PersonX achieves PersonX's objectives	to make a plan
83628	xReact	PersonX achieves PersonX's objectives	satisfied.
83642	xWant	PersonX achieves PersonX's objectives	to jump for joy
272704	oReact	PersonX achieves PersonY end	outdone
272745	xAttr	PersonX achieves PersonY end	proud
272714	xIntent	PersonX achieves PersonY end	to end persony
272732	xNeed	PersonX achieves PersonY end	to be able to do it themselfs
272710	xReact	PersonX achieves PersonY end	happy
272728	xWant	PersonX achieves PersonY end	to show dominance
604133	oReact	PersonX achieves PersonY goal	hurt
604163	xAttr	PersonX achieves PersonY goal	competitive
604137	xIntent	PersonX achieves PersonY goal	to make happy
604146	xNeed	PersonX achieves PersonY goal	to know PersonY's progress
604138	xReact	PersonX achieves PersonY goal	very happy
604148	xWant	PersonX achieves PersonY goal	to make PersonY feel bad
266250	oReact	PersonX achieves PersonY understanding	informed
266273	xAttr	PersonX achieves PersonY understanding	cooperative
266251	xIntent	PersonX achieves PersonY understanding	convice them
266268	xNeed	PersonX achieves PersonY understanding	to understand things himself
266270	xWant	PersonX achieves PersonY understanding	to study more
45250	oReact	PersonX achieves ___ in life	surprised and get excitement
45255	xIntent	PersonX achieves ___ in life	anything in life goal
45256	xReact	PersonX achieves ___ in life	happy
45273	xWant	PersonX achieves ___ in life	to celebrate
579392	xAttr	PersonX achieves one 's ___	dedicated
579378	xNeed	PersonX achieves one 's ___	to train consistently
32314	oReact	PersonX achieves the organization 's ___	glad if x is on their team
32337	xAttr	PersonX achieves the organization 's ___	successful
32312	xIntent	PersonX achieves the organization 's ___	in my life goal is very important
32329	xNeed	PersonX achieves the organization 's ___	to work hard
32313	xReact	PersonX achieves the organization 's ___	happy
32336	xWant	PersonX achieves the organization 's ___	to celebrate
8626	oReact	PersonX acknowledges gratefully the ___	satisfied,happy
8670	xAttr	PersonX acknowledges gratefully the ___	Appreciative
8633	xIntent	PersonX acknowledges gratefully the ___	gratefully the assistance in office
8654	xNeed	PersonX acknowledges gratefully the ___	make contact with those who are acknowledge
8628	xReact	PersonX acknowledges gratefully the ___	satisfied,happy
8651	xWant	PersonX acknowledges gratefully the ___	to see if it helps
56069	oReact	PersonX acknowledges with gratitude the ___	glad to have helped x
56094	xAttr	PersonX acknowledges with gratitude the ___	indebted
56072	xReact	PersonX acknowledges with gratitude the ___	satisfied
56081	xWant	PersonX acknowledges with gratitude the ___	to offer their help
17951	xIntent	PersonX acknowledges with thanks the ___	team
17971	xNeed	PersonX acknowledges with thanks the ___	to observe PersonX
276590	oReact	PersonX acquires PersonY interest	interested
276620	xNeed	PersonX acquires PersonY interest	to share things
276593	xReact	PersonX acquires PersonY interest	great
259878	oReact	PersonX acquires PersonY knowledge	helpful
259907	xAttr	PersonX acquires PersonY knowledge	curious
259879	xIntent	PersonX acquires PersonY knowledge	to do a better job
259888	xNeed	PersonX acquires PersonY knowledge	to talk to PersonY
259890	xWant	PersonX acquires PersonY knowledge	to take a test
198196	oReact	PersonX activates a shadow over everyone	scared
198236	xAttr	PersonX activates a shadow over everyone	controlling
198220	xNeed	PersonX activates a shadow over everyone	to dominate
198198	xReact	PersonX activates a shadow over everyone	evil
198222	xWant	PersonX activates a shadow over everyone	to bring them under his control
213578	oReact	PersonX acts PersonX's age	respected
213603	xAttr	PersonX acts PersonX's age	childish
213579	xIntent	PersonX acts PersonX's age	to be mature
213580	xReact	PersonX acts PersonX's age	responsible
213598	xWant	PersonX acts PersonX's age	to have more life experience
119596	oReact	PersonX acts as PersonY agent	helped
119629	xAttr	PersonX acts as PersonY agent	thoughtful
119594	xIntent	PersonX acts as PersonY agent	to be act
119610	xNeed	PersonX acts as PersonY agent	to offer to help person Y
119595	xReact	PersonX acts as PersonY agent	happy
119616	xWant	PersonX acts as PersonY agent	show off their talent
241936	oReact	PersonX acts as PersonY intermediary	annoyed
241973	xAttr	PersonX acts as PersonY intermediary	Listening
241937	xIntent	PersonX acts as PersonY intermediary	to provide a helpful listener
241966	xNeed	PersonX acts as PersonY intermediary	to be in position to help persony
241944	xReact	PersonX acts as PersonY intermediary	responsible
241969	xWant	PersonX acts as PersonY intermediary	to make both parties happy
531227	oReact	PersonX acts funny	amused
531232	xIntent	PersonX acts funny	to be a comedian
531229	xReact	PersonX acts funny	staisfied
531253	xWant	PersonX acts funny	to feel better
253913	oReact	PersonX acts in PersonY capacity	secure
253950	xAttr	PersonX acts in PersonY capacity	accepting
253920	xIntent	PersonX acts in PersonY capacity	to cover for y while they're sick
253941	xNeed	PersonX acts in PersonY capacity	action point
253918	xReact	PersonX acts in PersonY capacity	strong
253932	xWant	PersonX acts in PersonY capacity	inform PersonY of their activities
241752	oReact	PersonX acts in PersonY manner	angry at personx
241780	xAttr	PersonX acts in PersonY manner	teasing
241753	xIntent	PersonX acts in PersonY manner	to mock persony
241754	xReact	PersonX acts in PersonY manner	guilty
250178	oReact	PersonX acts in PersonY way	amused
250179	xIntent	PersonX acts in PersonY way	funny
250196	xNeed	PersonX acts in PersonY way	to see how personY acts
250180	xReact	PersonX acts in PersonY way	satisfied
250207	xWant	PersonX acts in PersonY way	to hurt Y
177389	oReact	PersonX acts like PersonY	annoyed
177412	xAttr	PersonX acts like PersonY	copycating
177403	xNeed	PersonX acts like PersonY	adopt the person's behaviors
177391	xReact	PersonX acts like PersonY	close to person
177400	xWant	PersonX acts like PersonY	hang out with their friend
121902	xIntent	PersonX acts like a PersonY	to be viewed as normal in society.
121911	xNeed	PersonX acts like a PersonY	to observe
653965	oReact	PersonX acts like a man	impressed
654000	xAttr	PersonX acts like a man	aggressive
653969	xIntent	PersonX acts like a man	to be mature
653986	xNeed	PersonX acts like a man	to do things right
653973	xReact	PersonX acts like a man	tough
653988	xWant	PersonX acts like a man	to see how they do
263635	xAttr	PersonX acts like men	masculine
111052	oReact	PersonX acts on PersonX's behalf	relieved.
111057	xIntent	PersonX acts on PersonX's behalf	considerate.
111066	xNeed	PersonX acts on PersonX's behalf	to find out what someone wants
111060	xReact	PersonX acts on PersonX's behalf	proud.
88025	oReact	PersonX acts on PersonY's behalf	grateful
88052	xAttr	PersonX acts on PersonY's behalf	calm
88021	xIntent	PersonX acts on PersonY's behalf	to help a friend
88048	xNeed	PersonX acts on PersonY's behalf	to file a restraining order for person y
88024	xReact	PersonX acts on PersonY's behalf	happy
88050	xWant	PersonX acts on PersonY's behalf	to file a motion
532251	xAttr	PersonX acts quickly	aware
532220	xIntent	PersonX acts quickly	to do something fast
532224	xReact	PersonX acts quickly	swift
471039	oReact	PersonX acts strange	confused
471061	xAttr	PersonX acts strange	odd
471033	xIntent	PersonX acts strange	attention
471037	xReact	PersonX acts strange	confused
471060	xWant	PersonX acts strange	to get to safety
560823	xAttr	PersonX actually liked ___	agreeable
560816	xNeed	PersonX actually liked ___	to try it out
560793	xReact	PersonX actually liked ___	excited
560818	xWant	PersonX actually liked ___	to try it again
26722	xIntent	PersonX adapts the ___ to the needs	to keep safe
104527	oReact	PersonX adapts to PersonY's environment	like they're in charge
104555	xAttr	PersonX adapts to PersonY's environment	flexible
104531	xIntent	PersonX adapts to PersonY's environment	to fit in
104546	xNeed	PersonX adapts to PersonY's environment	to find PersonY
104532	xReact	PersonX adapts to PersonY's environment	good
104543	xWant	PersonX adapts to PersonY's environment	to accomodate y
60276	oReact	PersonX addresses the ___ directly	interested in what x says
60304	xAttr	PersonX addresses the ___ directly	forward
60274	xIntent	PersonX addresses the ___ directly	to face up to __
60295	xNeed	PersonX addresses the ___ directly	to have a mic
60275	xReact	PersonX addresses the ___ directly	good
60296	xWant	PersonX addresses the ___ directly	to explain what the meeting is about
266841	oReact	PersonX adds PersonY excess	nervous
266858	xAttr	PersonX adds PersonY excess	friendly
380097	xIntent	PersonX adds ___ to PersonX's collection	to expand the collection
380121	xNeed	PersonX adds ___ to PersonX's collection	to go to the thrift shop
380098	xReact	PersonX adds ___ to PersonX's collection	proud
380123	xWant	PersonX adds ___ to PersonX's collection	to look at their collection
101305	oReact	PersonX adds ___ to injury	bad
101338	xAttr	PersonX adds ___ to injury	shilly
101303	xIntent	PersonX adds ___ to injury	to attain something
101301	xReact	PersonX adds ___ to injury	gratified that he made person hurt
29811	xAttr	PersonX adds ___ to the fire	useful
29803	xNeed	PersonX adds ___ to the fire	to pour more coal from the bag
29785	xReact	PersonX adds ___ to the fire	helpful
29804	xWant	PersonX adds ___ to the fire	to fan the fire
4743	oReact	PersonX adds ___ to the flame	bad
4769	xAttr	PersonX adds ___ to the flame	unrestrained
4744	xIntent	PersonX adds ___ to the flame	to create problems
4755	xNeed	PersonX adds ___ to the flame	a phone
4745	xReact	PersonX adds ___ to the flame	excited
4762	xWant	PersonX adds ___ to the flame	to go away
581061	oReact	PersonX adds ___ to the flames	also angry
581091	xAttr	PersonX adds ___ to the flames	interested
581068	xIntent	PersonX adds ___ to the flames	to be warm during the night
581079	xNeed	PersonX adds ___ to the flames	to start a fire
581081	xWant	PersonX adds ___ to the flames	to extinguish the fire
5270	xIntent	PersonX adds ___ to the list	more
5296	xNeed	PersonX adds ___ to the list	to take a pen
5277	xReact	PersonX adds ___ to the list	attentive
652108	oReact	PersonX adds another ___	thoughtful
652140	xAttr	PersonX adds another ___	expansive
652110	xIntent	PersonX adds another ___	to create a new team
652122	xNeed	PersonX adds another ___	to find another thing
652112	xReact	PersonX adds another ___	happy
652125	xWant	PersonX adds another ___	to see what they can do with the thing
220738	oReact	PersonX adds fuel to the fire	angered
220775	xAttr	PersonX adds fuel to the fire	irresponsible
220736	xIntent	PersonX adds fuel to the fire	to be entertained
220764	xNeed	PersonX adds fuel to the fire	to physically carry the fuel into proximity of the fire
220737	xReact	PersonX adds fuel to the fire	evil
220765	xWant	PersonX adds fuel to the fire	to make sure the fuel is correctly placed in the fire
657874	oReact	PersonX adds insult to injury	stabbed in the back
657907	xAttr	PersonX adds insult to injury	incompetent
657879	xIntent	PersonX adds insult to injury	to be in power
657896	xNeed	PersonX adds insult to injury	to make situation worse
657880	xReact	PersonX adds insult to injury	in control
657904	xWant	PersonX adds insult to injury	to apologize and say they didn't mean it
217017	xAttr	PersonX adds oil	annoyed
216993	xIntent	PersonX adds oil	make the recipe complete
217001	xNeed	PersonX adds oil	find the oil
216994	xReact	PersonX adds oil	hungry and ready to eat
217015	xWant	PersonX adds oil	to fry something
451758	xAttr	PersonX adds salt	content
451754	xNeed	PersonX adds salt	to be cooking something
112516	oReact	PersonX adds to PersonX's knowledge	grateful & appreciative.
27003	xAttr	PersonX adds together the ___	Intelligent
26978	xIntent	PersonX adds together the ___	to be prepared
26989	xNeed	PersonX adds together the ___	to get a math problem
26980	xReact	PersonX adds together the ___	knowledgable
26991	xWant	PersonX adds together the ___	to total things
66404	oReact	PersonX adjusts PersonX's ___ accordingly	impressed
66406	xIntent	PersonX adjusts PersonX's ___ accordingly	to be accepted
66407	xReact	PersonX adjusts PersonX's ___ accordingly	appropriate
187331	xAttr	PersonX adjusts PersonY's glasses	assertive
187328	xNeed	PersonX adjusts PersonY's glasses	to touch his glasses
187323	xWant	PersonX adjusts PersonY's glasses	to stand back and look at whether they're even
59262	oReact	PersonX administers the lord 's ___	tended to
59295	xAttr	PersonX administers the lord 's ___	kind
59277	xNeed	PersonX administers the lord 's ___	fix supper
59279	xWant	PersonX administers the lord 's ___	pick up lords plate
644857	oReact	PersonX admires PersonY's work	like their work has worth
644888	xAttr	PersonX admires PersonY's work	admiring
644858	xIntent	PersonX admires PersonY's work	to show them how much they like it
644882	xNeed	PersonX admires PersonY's work	to contact PersonY
644854	xReact	PersonX admires PersonY's work	envious
644883	xWant	PersonX admires PersonY's work	to see PersonY's other works
372103	oReact	PersonX admits PersonY was wrong	insulted
372148	xAttr	PersonX admits PersonY was wrong	Seeker
372109	xIntent	PersonX admits PersonY was wrong	to be truthful
372123	xNeed	PersonX admits PersonY was wrong	to disagree about something.
372106	xReact	PersonX admits PersonY was wrong	justified
646750	oReact	PersonX admits ___ into the union	united
646789	xAttr	PersonX admits ___ into the union	judicial
646758	xIntent	PersonX admits ___ into the union	to add
646784	xNeed	PersonX admits ___ into the union	to write the paperwork
646755	xReact	PersonX admits ___ into the union	satisfied
646781	xWant	PersonX admits ___ into the union	to do other work
109658	xAttr	PersonX adopts PersonY approach	flexible
109629	xIntent	PersonX adopts PersonY approach	compromise
109630	xReact	PersonX adopts PersonY approach	angry
697036	oReact	PersonX adopts a baby	loved
697086	xAttr	PersonX adopts a baby	uneasy
697037	xIntent	PersonX adopts a baby	to become a parent
697076	xNeed	PersonX adopts a baby	fill out paperwork
697038	xReact	PersonX adopts a baby	responsible
697079	xWant	PersonX adopts a baby	take care of the baby
404410	xAttr	PersonX adopts a cat	nurturing
404384	xIntent	PersonX adopts a cat	to provide a home for a cat
476862	oReact	PersonX adopts a child	loved
476898	xAttr	PersonX adopts a child	caring
476864	xIntent	PersonX adopts a child	to have a child
476889	xNeed	PersonX adopts a child	to apply to adoption agency
476860	xReact	PersonX adopts a child	loved
476892	xWant	PersonX adopts a child	to show child to their new room
396538	xAttr	PersonX adopts a dog	loving
396511	xIntent	PersonX adopts a dog	a companion
396524	xNeed	PersonX adopts a dog	to go to the shelter
396509	xReact	PersonX adopts a dog	loving
396528	xWant	PersonX adopts a dog	to go to the vet
