input_text	prefix	target_text	Unnamed: 0
PersonX about to get married	xAttr	excited	
PersonX about to get married	xIntent	to share his life with someone	472037.0
PersonX absolutely loved	xAttr	caring	
PersonX absolutely loved	xIntent	to marry.	459687.0
PersonX absolutely loved it	xAttr	enthused	
PersonX absolutely loved it	xIntent	none	523609.0
PersonX accepts PersonY appointment	xAttr	Booked	
PersonX accepts PersonY appointment	xIntent	to have a job	271833.0
PersonX accepts PersonY thanks	xAttr	grateful	
PersonX accepts PersonY thanks	xIntent	to be gracious	116877.0
PersonX accepts PersonY's proposal	xAttr	Trusting	
PersonX accepts PersonY's proposal	xIntent	to move on with the project	570741.0
PersonX accepts PersonY's resignation	xAttr	Understanding	
PersonX accepts PersonY's resignation	xIntent	none	82610.0
PersonX accepts into college	xAttr	hopeful	
PersonX accepts into college	xIntent	none	530022.0
PersonX accepts the challenge	xAttr	brave	
PersonX accepts the challenge	xIntent	to prove they are the best	623809.0
PersonX accepts the dare	xAttr	Adventurous	
PersonX accepts the dare	xIntent	to prove they are not afraid	449664.0
PersonX accepts the fact	xAttr	resigned	
PersonX accepts the fact	xIntent	to move on with life	438715.0
PersonX accepts without question	xAttr	naive	
PersonX accepts without question	xIntent	to be generous	255948.0
PersonX accidentally bumped	xAttr	clumsy	
PersonX accidentally bumped	xIntent	none	520274.0
PersonX accidentally burned	xAttr	Accident prone	
PersonX accidentally burned	xIntent	none	697913.0
PersonX accidentally cut	xAttr	careless	
PersonX accidentally cut	xIntent	none	518787.0
PersonX accidentally dropped	xAttr	clumsy	
PersonX accidentally dropped	xIntent	none	397938.0
PersonX accidentally dropped it	xAttr	clumsy	
PersonX accidentally dropped it	xIntent	none	505201.0
PersonX accidentally fell	xAttr	awkward	
PersonX accidentally fell	xIntent	none	515191.0
PersonX accidentally got	xAttr	careless	
PersonX accidentally got	xIntent	none	519752.0
PersonX accidentally hit	xAttr	clumsy.	
PersonX accidentally hit	xIntent	none	400611.0
PersonX accidentally knocked	xAttr	clumsy	
PersonX accidentally knocked	xIntent	none	404479.0
PersonX accidentally knocked over	xAttr	clumsy	
PersonX accidentally knocked over	xIntent	none	447134.0
PersonX accidentally left	xAttr	careless	
PersonX accidentally left	xIntent	none	477774.0
PersonX accidentally put	xAttr	careless	
PersonX accidentally put	xIntent	none	410929.0
PersonX accidentally shot	xAttr	careless	
PersonX accidentally shot	xIntent	none	446559.0
PersonX accidentally spilled	xAttr	upset	
PersonX accidentally spilled	xIntent	none	459204.0
PersonX accidentally stepped	xAttr	clumsy	
PersonX accidentally stepped	xIntent	none	494532.0
PersonX accidentally tripped	xAttr	embarrassed	
PersonX accidentally tripped	xIntent	none	515076.0
PersonX accidently left	xAttr	silly	
PersonX accidently left	xIntent	none	691010.0
PersonX accompanies PersonY far	xAttr	supportive	
PersonX accompanies PersonY far	xIntent	to comfort him	252894.0
PersonX accompanies by PersonX's wife	xAttr	kind	
PersonX accompanies by PersonX's wife	xIntent	to go somewhere	115754.0
PersonX accompanies by PersonY's wife	xAttr	companion	
PersonX accompanies by PersonY's wife	xIntent	none	94131.0
PersonX accomplishes PersonX's goal	xAttr	determined	
PersonX accomplishes PersonX's goal	xIntent	to achieve a personal goal.	105082.0
PersonX accomplishes PersonX's goals	xAttr	positive	
