input_text	prefix	target_text	Unnamed: 0
PersonX accepts PersonY thanks	xAttr	grateful	
PersonX accepts PersonY thanks	xNeed	to get talk to Y	
PersonX accepts PersonY thanks	xReact	appreciated	
PersonX accepts PersonY thanks	xWant	to relax	
PersonX accepts the challenge	xAttr	brave	
PersonX accepts the challenge	xIntent	to prove he can do it.	623802.0
PersonX accepts the challenge	xNeed	talk to someone	
PersonX accepts the challenge	xReact	nervous	
PersonX accidentally dropped	xAttr	clumsy	
PersonX accidentally dropped	xIntent	none	397942.0
PersonX accidentally dropped	xNeed	to be holding something	
PersonX accidentally dropped	xReact	bad	
PersonX accidentally dropped	xWant	unexpectedly he went a shop	
PersonX accidentally left	xAttr	careless	
PersonX accidentally left	xIntent	none	477774.0
PersonX accidentally left	xNeed	He started working.	
PersonX accidentally left	xReact	surprised	
PersonX accidentally tripped	xAttr	embarrassed	
PersonX accidentally tripped	xNeed	to not looking where they're going.	
PersonX accidentally tripped	xReact	embarrassed	
PersonX accidentally tripped	xWant	to avoid injury	
PersonX accomplishes PersonX's goals	xAttr	positive	
PersonX accomplishes PersonX's goals	xIntent	to be successful	109278.0
PersonX accomplishes PersonX's goals	xNeed	to work hard towards their goals	
PersonX accomplishes PersonX's goals	xReact	happy	
PersonX accomplishes PersonX's mission	xAttr	successful	
PersonX accomplishes PersonX's mission	xIntent	to make the world better	105601.0
PersonX accomplishes PersonX's mission	xNeed	to make a plan	
PersonX accomplishes PersonX's mission	xReact	good	
PersonX accuses PersonY of cheating	xAttr	envious	
PersonX accuses PersonY of cheating	xIntent	damage persony's reputation	326310.0
PersonX accuses PersonY of cheating	xNeed	to play the game	
PersonX accuses PersonY of cheating	xReact	justified	
PersonX achieves PersonX's aims	xAttr	accomplished	
PersonX achieves PersonX's aims	xIntent	achieve his goals.	586141.0
PersonX achieves PersonX's aims	xNeed	to work hard	
PersonX achieves PersonX's aims	xReact	proud of himself	
PersonX achieves PersonY end	xAttr	accomplished	
PersonX achieves PersonY end	xNeed	to know the end of persony	
PersonX achieves PersonY end	xReact	concerned	
PersonX achieves PersonY end	xWant	to be successful	
PersonX acquires PersonY knowledge	xAttr	Skillful	
PersonX acquires PersonY knowledge	xIntent	to do a better job	259879.0
PersonX acquires PersonY knowledge	xNeed	to talk to PersonY	
PersonX acquires PersonY knowledge	xReact	more intelligent	
PersonX activates a shadow over everyone	xAttr	controlling	
PersonX activates a shadow over everyone	xNeed	Locate everyone	
PersonX activates a shadow over everyone	xReact	evil	
PersonX activates a shadow over everyone	xWant	To abuse their power	
PersonX acts funny	xAttr	high on drugs	
PersonX acts funny	xIntent	to be a comedian	531232.0
PersonX acts funny	xNeed	tell a joke	
PersonX acts funny	xReact	amusing	
PersonX acts like PersonY	xAttr	understanding	
PersonX acts like PersonY	xIntent	to be like person.	177390.0
PersonX acts like PersonY	xNeed	become aware of the other person	
PersonX acts like PersonY	xReact	close to person	
PersonX acts like PersonY	xWant	develop their own personality	
PersonX acts on PersonY's behalf	xAttr	moody	
PersonX acts on PersonY's behalf	xIntent	to help a friend	88021.0
PersonX acts on PersonY's behalf	xNeed	a desire	
PersonX acts on PersonY's behalf	xReact	like they've benefited	
PersonX acts on PersonY's behalf	xWant	to benefit	
PersonX adapts to PersonY's environment	xAttr	flexible	
PersonX adapts to PersonY's environment	xNeed	to find PersonY	
PersonX adapts to PersonY's environment	xReact	at peace	
PersonX adapts to PersonY's environment	xWant	to accomodate y	
PersonX admires PersonY's work	xAttr	admirier	
PersonX admires PersonY's work	xIntent	to show them how much they like it	644858.0
PersonX admires PersonY's work	xNeed	to see PersonY's work	
PersonX admires PersonY's work	xReact	envious	
PersonX adopts a child	xAttr	generous	
PersonX adopts a child	xNeed	to visit adoption agency	
PersonX adopts a child	xReact	happy	
PersonX adopts a child	xWant	take child home	
PersonX adopts a little girl	xAttr	compassionate	
PersonX adopts a little girl	xNeed	set up a place for the child to stay	
PersonX adopts a little girl	xReact	amazing	
PersonX adopts a little girl	xWant	to bring the girl home	
PersonX adopts a pet	xAttr	caring	
PersonX adopts a pet	xIntent	to take care of something	407152.0
PersonX adopts a pet	xNeed	to go to the shelter	
PersonX adopts a pet	xReact	excited	
PersonX adopts a puppy	xAttr	Loving	
PersonX adopts a puppy	xIntent	to be loved.	470955.0
PersonX adopts a puppy	xNeed	goes to the pet store	
PersonX adopts a puppy	xReact	fulfilled	
PersonX adopts one	xAttr	caring	
PersonX adopts one	xIntent	a child	630536.0
PersonX adopts one	xNeed	look at things to adopt	
PersonX adopts one	xReact	caring	
PersonX adopts the kitten	xAttr	caring	
PersonX adopts the kitten	xIntent	to care for something	697245.0
PersonX adopts the kitten	xNeed	to fill out the application	
PersonX adopts the kitten	xReact	good for having a new friend	
PersonX adopts the puppy	xAttr	caring	
PersonX adopts the puppy	xNeed	to find a puppy to adopt	
PersonX adopts the puppy	xReact	happy	
PersonX adopts the puppy	xWant	to be a good pet owner	
PersonX advances PersonX's interests	xAttr	dedicated	
PersonX advances PersonX's interests	xIntent	to help personx succeed	87014.0
PersonX advances PersonX's interests	xNeed	develop interests to develop	
PersonX advances PersonX's interests	xReact	satisfied	
PersonX advances upon PersonY	xAttr	forcefull	
PersonX advances upon PersonY	xIntent	approach person y	259637.0
PersonX advances upon PersonY	xNeed	go to PersonY	
PersonX advances upon PersonY	xReact	interested happy	
PersonX affects PersonY's ability	xAttr	helpful	
PersonX affects PersonY's ability	xIntent	none	129855.0
PersonX affects PersonY's ability	xNeed	to take actions	
PersonX affects PersonY's ability	xReact	surprised	
PersonX affects PersonY's life	xAttr	Careless	
PersonX affects PersonY's life	xNeed	to get to know PersonY	
PersonX affects PersonY's life	xReact	nan	
PersonX affects PersonY's life	xWant	to help Y	
PersonX affords PersonX's rent	xAttr	Spendthrift	
PersonX affords PersonX's rent	xIntent	none	296560.0
PersonX affords PersonX's rent	xNeed	She got a new job.	
PersonX affords PersonX's rent	xReact	satisfied	
PersonX affords PersonY opportunity	xAttr	caring	
PersonX affords PersonY opportunity	xIntent	to give persony a chance	84520.0
