	Unnamed: 0	index	prefix	input_text	target_text	input_text_fa	target_text_fa	natural	natural_fa	natural_input_text_en	natural_target_text	natural_input_text_fa	natural_target_text_fa
0	4442	4442	xIntent	PersonX returns to PersonX's work	to keep their job	PersonX به کار PersonX برمی گردد	برای حفظ شغل خود	PersonX returns to PersonX's work. PersonX intends to keep their job	PersonX به کار PersonX برمی گردد. PersonX قصد دارد شغل خود را حفظ کند	PersonX returns to PersonX's work	 PersonX intends to keep their job	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد شغل خود را حفظ کند
1	4443	4443	xIntent	PersonX returns to PersonX's work	to earn money	PersonX به کار PersonX برمی گردد	برای به دست آوردن پول	PersonX returns to PersonX's work. PersonX intends to earn money	PersonX به کار PersonX برمی گردد. PersonX قصد دارد درآمد کسب کند	PersonX returns to PersonX's work	 PersonX intends to earn money	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد درآمد کسب کند
2	4444	4444	xIntent	PersonX returns to PersonX's work	to finish their work	PersonX به کار PersonX برمی گردد	کارشان را تمام کنند	PersonX returns to PersonX's work. PersonX intends to finish their work	PersonX به کار PersonX برمی گردد. PersonX قصد دارد کار خود را به پایان برساند	PersonX returns to PersonX's work	 PersonX intends to finish their work	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد کار خود را به پایان برساند
3	4445	4445	xIntent	PersonX returns to PersonX's work	to work	PersonX به کار PersonX برمی گردد	برای کار	PersonX returns to PersonX's work. PersonX intends to work	PersonX به کار PersonX برمی گردد. PersonX قصد دارد کار کند	PersonX returns to PersonX's work	 PersonX intends to work	PersonX به کار PersonX برمی گردد	 PersonX قصد دارد کار کند
4	4446	4446	xIntent	PersonX paints PersonX's portrait	to create art	PersonX پرتره PersonX را نقاشی می کند	برای خلق هنر	PersonX paints PersonX's portrait. PersonX intends to create art	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد خلق هنر دارد	PersonX paints PersonX's portrait	 PersonX intends to create art	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد خلق هنر دارد
5	4447	4447	xIntent	PersonX paints PersonX's portrait	to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند	تا مردم به آنها توجه کنند	PersonX paints PersonX's portrait. PersonX intends to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد تا مردم به آنها توجه کنند	PersonX paints PersonX's portrait	 PersonX intends to have people pay attention to them	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد تا مردم به آنها توجه کنند
6	4448	4448	xIntent	PersonX paints PersonX's portrait	to practice his craft	PersonX پرتره PersonX را نقاشی می کند	تا حرفه خود را تمرین کند	PersonX paints PersonX's portrait. PersonX intends to practice his craft	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد کار خود را تمرین کند	PersonX paints PersonX's portrait	 PersonX intends to practice his craft	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد کار خود را تمرین کند
7	4449	4449	xIntent	PersonX paints PersonX's portrait	to try something new	PersonX پرتره PersonX را نقاشی می کند	چیز جدیدی را امتحان کنید	PersonX paints PersonX's portrait. PersonX intends to try something new	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد چیز جدیدی را امتحان کند	PersonX paints PersonX's portrait	 PersonX intends to try something new	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد چیز جدیدی را امتحان کند
8	4450	4450	xIntent	PersonX paints PersonX's portrait	to capture his beauty	PersonX پرتره PersonX را نقاشی می کند	تا زیبایی او را به تصویر بکشد	PersonX paints PersonX's portrait. PersonX intends to capture his beauty	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد زیبایی او را به تصویر بکشد	PersonX paints PersonX's portrait	 PersonX intends to capture his beauty	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد زیبایی او را به تصویر بکشد
9	4451	4451	xIntent	PersonX paints PersonX's portrait	to express himself	PersonX پرتره PersonX را نقاشی می کند	خودش را بیان کند	PersonX paints PersonX's portrait. PersonX intends to express himself	PersonX پرتره PersonX را نقاشی می کند. PersonX قصد دارد خودش را بیان کند	PersonX paints PersonX's portrait	 PersonX intends to express himself	PersonX پرتره PersonX را نقاشی می کند	 PersonX قصد دارد خودش را بیان کند
