input_text	prefix	target_text
bacon	MadeUpOf	pig
ball	MadeUpOf	plastic
banjo	MadeUpOf	wood
bicycle	MadeUpOf	metal
boat	MadeUpOf	fiber
bottle	MadeUpOf	plastic
club	MadeUpOf	people
congregation	MadeUpOf	people
duvet	MadeUpOf	cotton
family	MadeUpOf	relatives
human body	MadeUpOf	flesh
human body	MadeUpOf	water
matter	MadeUpOf	elements
matter	MadeUpOf	molecules
matter	MadeUpOf	particles
nail	MadeUpOf	keratin
newspaper	MadeUpOf	ink and paper
panda	MadeUpOf	cells
penis	MadeUpOf	cells
penis	MadeUpOf	flesh
pot	MadeUpOf	clay
president	MadeUpOf	substance dumb
punch bag	MadeUpOf	leather
salt	MadeUpOf	crystals
salt	MadeUpOf	ions
salt	MadeUpOf	sodium chloride
sand	MadeUpOf	little pieces of seashells
sky	MadeUpOf	gases
snow	MadeUpOf	snowflakes
sushi	MadeUpOf	raw fishes
whole	MadeUpOf	parts
theater	MadeUpOf	acting
gun	MadeUpOf	action
woman	MadeUpOf	adult female body
aircraft	MadeUpOf	aircraft engine
tube	MadeUpOf	anode
receiver	MadeUpOf	antenna
moose	MadeUpOf	antler
document	MadeUpOf	article
crust	MadeUpOf	asthenosphere
sky	MadeUpOf	atmosphere
family	MadeUpOf	aunt
cart	MadeUpOf	axletree
bacon	MadeUpOf	bacon rind
gun	MadeUpOf	barrel
baseball diamond	MadeUpOf	base
basketball	MadeUpOf	basketball play
basketball	MadeUpOf	basketball shot
baseball diamond	MadeUpOf	batter's box
aircraft	MadeUpOf	bay
event	MadeUpOf	beginning
bicycle	MadeUpOf	bicycle chain
bicycle	MadeUpOf	bicycle seat
bicycle	MadeUpOf	bicycle wheel
chess	MadeUpOf	bishop
fight	MadeUpOf	blow
boat	MadeUpOf	boat whistle
bottle	MadeUpOf	bottlecap
bow	MadeUpOf	bowstring
coach	MadeUpOf	box
theater	MadeUpOf	box office
skirt	MadeUpOf	box pleat
family	MadeUpOf	brother
aircraft	MadeUpOf	cabin
ring	MadeUpOf	canvas
gun	MadeUpOf	cartridge ejector
gun	MadeUpOf	cartridge extractor
gun	MadeUpOf	cartridge holder
cart	MadeUpOf	cartwheel
tube	MadeUpOf	cathode
cd player	MadeUpOf	cd drive
bicycle	MadeUpOf	chain
chess	MadeUpOf	checkerboard
chess	MadeUpOf	chess move
chess	MadeUpOf	chessboard
family	MadeUpOf	child
dye	MadeUpOf	chromophore
theater	MadeUpOf	circle
newspaper	MadeUpOf	classifieds
nail	MadeUpOf	clinch
sky	MadeUpOf	cloud
bicycle	MadeUpOf	coaster brake
aircraft	MadeUpOf	cockpit
gear	MadeUpOf	cog
fear	MadeUpOf	cold sweat
newspaper	MadeUpOf	column
newspaper	MadeUpOf	comic strip
network	MadeUpOf	computer
telephone	MadeUpOf	cord
newspaper	MadeUpOf	coupon
family	MadeUpOf	cousin
sleeve	MadeUpOf	cuff
pork	MadeUpOf	cut of pork
fingernail	MadeUpOf	cuticle
nail	MadeUpOf	cuticle
pump	MadeUpOf	cylinder
radar	MadeUpOf	dish
butterfly	MadeUpOf	dolphin kick
theater	MadeUpOf	dressing room
vacuum	MadeUpOf	dust bag
morning	MadeUpOf	early morning hour
newspaper	MadeUpOf	editorial
sleeve	MadeUpOf	elbow
tube	MadeUpOf	electrode
event	MadeUpOf	end
family	MadeUpOf	every grandfather
family	MadeUpOf	everybody
curtain	MadeUpOf	eyelet
piano	MadeUpOf	fall board
order	MadeUpOf	family
family	MadeUpOf	father in law
newspaper	MadeUpOf	feature
female	MadeUpOf	female body
locomotive	MadeUpOf	fender
banjo	MadeUpOf	fingerboard
fireplace	MadeUpOf	fire iron
gun	MadeUpOf	firing chamber
locomotive	MadeUpOf	footplate
penis	MadeUpOf	foreskin
picture	MadeUpOf	frame
newspaper	MadeUpOf	front page
aircraft	MadeUpOf	fuel system
atlas	MadeUpOf	gazetteer
family	MadeUpOf	genus
penis	MadeUpOf	glans
penis	MadeUpOf	glans penis
golf club	MadeUpOf	golf club head
family	MadeUpOf	grandfather
family	MadeUpOf	grandma
family	MadeUpOf	grandmother
grapefruit	MadeUpOf	grapefruit peel
theater	MadeUpOf	greenroom
tube	MadeUpOf	grid
grinder	MadeUpOf	grinding wheel
gun	MadeUpOf	gun muzzle
gun	MadeUpOf	gun trigger
gun	MadeUpOf	gunlock
gun	MadeUpOf	gunsight
basketball	MadeUpOf	half
nail	MadeUpOf	half moon
object	MadeUpOf	handle
bicycle	MadeUpOf	handlebar
telephone	MadeUpOf	handset
penis	MadeUpOf	head
nail	MadeUpOf	head
newspaper	MadeUpOf	headline
fireplace	MadeUpOf	hearth
fireplace	MadeUpOf	hearthstone
day	MadeUpOf	hour
street	MadeUpOf	house
boat	MadeUpOf	hull
camel	MadeUpOf	hump
magic	MadeUpOf	illusion
mailbox	MadeUpOf	inbox
newspaper	MadeUpOf	information
action	MadeUpOf	key
piano	MadeUpOf	keyboard
piano	MadeUpOf	keys
skirt	MadeUpOf	kick pleat
bicycle	MadeUpOf	kickstand
kite	MadeUpOf	kite tail
chess	MadeUpOf	knight
string	MadeUpOf	language unit
skirt	MadeUpOf	lap
bow	MadeUpOf	limb
fireplace	MadeUpOf	mantel
atlas	MadeUpOf	map
nail	MadeUpOf	matrix
orchid	MadeUpOf	mentum
day	MadeUpOf	morning
family	MadeUpOf	mother in law
baseball diamond	MadeUpOf	mound
mouse	MadeUpOf	mouse button
mouse	MadeUpOf	mouse wheel
bottle	MadeUpOf	mouth
telephone	MadeUpOf	mouthpiece
bicycle	MadeUpOf	mudguard
nail	MadeUpOf	nailhead
sweater	MadeUpOf	neckband
sweater	MadeUpOf	neckline
family	MadeUpOf	neice
family	MadeUpOf	nephew
newspaper	MadeUpOf	news
newspaper	MadeUpOf	news article
newspaper	MadeUpOf	news item
day	MadeUpOf	night
day	MadeUpOf	noon
aircraft	MadeUpOf	nose
theater	MadeUpOf	orchestra
theater	MadeUpOf	orchestra pit
radar	MadeUpOf	oscilloscope
mailbox	MadeUpOf	outbox
baseball diamond	MadeUpOf	outfield
female	MadeUpOf	ovary
signature	MadeUpOf	paraph
theater	MadeUpOf	parquet
theater	MadeUpOf	parquet circle
chess	MadeUpOf	pawn
orchard	MadeUpOf	peach
bicycle	MadeUpOf	pedal
newspaper	MadeUpOf	personals
drugstore	MadeUpOf	pharmacopoeia
piano	MadeUpOf	piano action
piano	MadeUpOf	piano keyboard
olive	MadeUpOf	pit
peach	MadeUpOf	pit
skirt	MadeUpOf	placket
dress shirt	MadeUpOf	plastron
tube	MadeUpOf	plate
pork	MadeUpOf	pork loin
document	MadeUpOf	preamble
penis	MadeUpOf	prepuce
order	MadeUpOf	priest
ball	MadeUpOf	promenade
newspaper	MadeUpOf	public announcments
radar	MadeUpOf	pulse generator
purse	MadeUpOf	purse string
chess	MadeUpOf	queen
fingernail	MadeUpOf	quick
hedgehog	MadeUpOf	quill
receiver	MadeUpOf	radio chassis
sky	MadeUpOf	rainbow
basketball	MadeUpOf	rebound
telephone	MadeUpOf	receiver
sushi	MadeUpOf	rice
cradle	MadeUpOf	rocker
chess	MadeUpOf	rook
nail	MadeUpOf	root
newspaper	MadeUpOf	rotogravure
ladder	MadeUpOf	rundle
gun	MadeUpOf	safety catch
skirt	MadeUpOf	seat
speech	MadeUpOf	sentence
handle	MadeUpOf	shank
nail	MadeUpOf	shank
wineglass	MadeUpOf	shank
grocery store	MadeUpOf	shelf
baseball diamond	MadeUpOf	short
street	MadeUpOf	sidewalk
aircraft	MadeUpOf	skeleton
aircraft	MadeUpOf	skin
skirt	MadeUpOf	slide fastener
snow	MadeUpOf	snowflake
piano	MadeUpOf	soft pedal
piano	MadeUpOf	soundboard
piano	MadeUpOf	sounding board
newspaper	MadeUpOf	sports page
newspaper	MadeUpOf	sports section
bicycle	MadeUpOf	sprocket
police station	MadeUpOf	squad room
theater	MadeUpOf	stage
theater	MadeUpOf	standing room
gun	MadeUpOf	stock
newspaper	MadeUpOf	story
purse	MadeUpOf	strap
brace	MadeUpOf	strap
kite	MadeUpOf	string
candy	MadeUpOf	sugar
juice	MadeUpOf	sugar
skirt	MadeUpOf	sunburst pleat
piano	MadeUpOf	sustaining pedal
telephone	MadeUpOf	telephone receiver
theater	MadeUpOf	theater stage
theater	MadeUpOf	tiered seats
basketball	MadeUpOf	tip off
gear	MadeUpOf	tooth
orchard	MadeUpOf	tree
gun	MadeUpOf	trigger
family	MadeUpOf	uncle
penis	MadeUpOf	urethra
penis	MadeUpOf	vena bulbi penis
speech	MadeUpOf	vowel
fireplace	MadeUpOf	water back
radar	MadeUpOf	waveguide
bicycle	MadeUpOf	wheel
corkscrew	MadeUpOf	worm
tool kit	MadeUpOf	wrench
sleeve	MadeUpOf	wristband
ball field	MadeUpOf	baseball diamond
human body	MadeUpOf	body part
terrorist	MadeUpOf	bombs
balcony	MadeUpOf	box
ball field	MadeUpOf	box
human body	MadeUpOf	brain
generator	MadeUpOf	brush
golf course	MadeUpOf	bunker
spacecraft	MadeUpOf	cabin
ice hockey	MadeUpOf	check
legislature	MadeUpOf	congress
animal kingdom	MadeUpOf	dog
sewer	MadeUpOf	drain
chiffonier	MadeUpOf	drawer
ice hockey	MadeUpOf	fight
human body	MadeUpOf	foot
europe	MadeUpOf	france
ice hockey	MadeUpOf	goalie
furnace	MadeUpOf	grate
human body	MadeUpOf	head
human body	MadeUpOf	heart
golf course	MadeUpOf	hole
indonesia	MadeUpOf	java
terminal	MadeUpOf	keyboard
human body	MadeUpOf	kidney
human body	MadeUpOf	liver
human body	MadeUpOf	lung
human body	MadeUpOf	lungs
human body	MadeUpOf	nerve
gas burner	MadeUpOf	nozzle
construction	MadeUpOf	painting
whole	MadeUpOf	part
whole	MadeUpOf	piece
construction	MadeUpOf	plumbing
furnace	MadeUpOf	register
make love	MadeUpOf	sex
perception	MadeUpOf	sight
human body	MadeUpOf	spine
stairway	MadeUpOf	step
ice hockey	MadeUpOf	stick
human body	MadeUpOf	stomach
solar system	MadeUpOf	sun
human body	MadeUpOf	throat
brass	MadeUpOf	valve
kilobyte	MadeUpOf	word
solar system	MadeUpOf	world
antelope	MadeUpOf	four legs
barbershop quartet	MadeUpOf	four voices
bicicle	MadeUpOf	two pedals
human body	MadeUpOf	two eyes
human body	MadeUpOf	two legs
