fid	prefix	input_text	target_text	pred_text1	rouge_score	method	bert_score	frozen	model	steps	wrap	prefixed	query
f1	p1	i1	t1	r1	0.8	unsup	0.4	False	t5	100	uw	up	q
f1	p1	i1	t2	r1	0.9	unsup	0.4	False	t5	100	uw	up	q
f1	p2	i1	t1	r1	0.9	unsup	0.4	False	t5	100	uw	up	q
f1	p2	i1	t2	r2	0.8	unsup	0.4	False	t5	100	uw	up	q
f1	p3	i1	t1	r1	0.8	unsup	0.4	False	t5	100	uw	up	q
f1	p3	i2	t3	r1	0.7	unsup	0.4	False	t5	100	uw	up	q
f1	p3	i2	t4	r2	0.8	unsup	0.4	False	t5	100	uw	up	q
f2	p1	i1	t1	r3	0.2	unsup	0.4	False	t5	100	uw	up	q
f2	p1	i1	t1	r1	0.8	unsup	0.4	False	t5	100	uw	up	q
f2	p2	i2	t2	r3	0.3	unsup	0.4	False	t5	100	uw	up	q
f2	p2	i2	t1	r2	0.8	unsup	0.4	False	t5	100	uw	up	q
