input_text	prefix	target_text
ant	NotDesires	stepped on
bug	NotDesires	stepped on
cheater	NotDesires	get caught
coach	NotDesires	team to lose
dentist	NotDesires	patients with bad breath
employer	NotDesires	employees to tardy
lover	NotDesires	fight
mouse	NotDesires	caught by cat
president	NotDesires	answere questions
president	NotDesires	impeached
trainer	NotDesires	horse with bad feet
athlete	NotDesires	sore knee
bigot	NotDesires	advice
carnivore	NotDesires	avoid meat
clown	NotDesires	have no jokes
comedy improviser	NotDesires	say no
executive	NotDesires	productivity to decline
gardener	NotDesires	plants to die
hen	NotDesires	flag
math teacher	NotDesires	students to fail
painter	NotDesires	drip paint on floor
painter	NotDesires	run out of paint
pianist	NotDesires	broken piano
pianist	NotDesires	broken wrist
pianist	NotDesires	stop playing piano
political party	NotDesires	lose election
slug	NotDesires	dry
typist	NotDesires	broken finger
