tid	exp	model	lang	method	wrap	frozen	epochs	date	all_preds	bert_score	bleu_score	input_text	langs	pred_text1	prefix	prompt	qid	rouge_score	target_text	top	top_pred	enfat5-large_pred_text1_bart_score	enfat5-large_target_text_bart_score
0	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	gets they didn't do something. <br /> gets they didn't do it. <br /> gets they didn't do something	0.06	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ## ## ## ##	en2en	gets they didn't do something	oEffect	PersonX accepts PersonY invitation  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	0	0.0	PersonY smiles	PersonY smiles	gets they didn't do something	-5.122719999999999	-6.75785
0	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	از شخص ایکس تشکر می کند. <br /> به شخص ایکس خوش آمد می گوید. <br /> لبخند	0.86	0.0375934046415699	## شخص ایکس دعوت شخص دیگری را می پذیرد ## ##	fa2fa	از شخص ایکس تشکر می کند	oEffect	<oEffect>  شخص ایکس دعوت شخص دیگری را می پذیرد <gen_fa>  <extra_id_0>	0	0.1999999952000001	شخصی لبخند می زند	شخصی لبخند می زند	لبخند	-2.5543400000000003	-3.60564
0	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	شخص ایکس درخواست دیگری را می پذیرد. <br /> شخص ایکس از شخص دیگری درخواست می کند. <br /> لبخند می زند	0.93	0.0323593484897578	## ## ## ## ## ## ## ## شخص ایکس دعوت شخص دیگری را می پذیرد ## ## ## ## ## ## ## ## ##	fa2fa	شخص ایکس درخواست دیگری را می پذیرد	oEffect	<oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  شخص ایکس دعوت شخص دیگری را می پذیرد <oEffect_fa_0>  <oEffect_fa_1>  <oEffect_fa_2>  <oEffect_fa_3>  <oEffect_fa_4>  <oEffect_fa_5>  <oEffect_fa_6>  <oEffect_fa_7>  <extra_id_0>	0	0.1818181771900827	شخصی لبخند می زند	شخصی لبخند می زند	لبخند می زند	-1.90488	-3.60564
0	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> PersonX gets thanked	0.52	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ## ## ## ##	en2en	gets thanked	oEffect	PersonX accepts PersonY invitation  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	0	0.0	PersonY smiles	PersonY smiles	PersonX gets thanked	-6.644019999999999	-6.75785
0	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to accept PersonY's invite <br /> to accept PersonY's invite. <br /> gets arrested	0.43	0.0456496931223525	## PersonX accepts PersonY invitation ##	en2en	to accept PersonY's invite	oEffect	<oEffect>  PersonX accepts PersonY invitation <extra_id_0>	0	0.0	PersonY smiles	PersonY smiles	to accept PersonY's invite.	-4.75291	-6.75785
1	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> gets excited <br /> to be helpful	0.57	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ##	en2en	happy	oReact	PersonX accepts PersonY invitation  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	1	0.3999999968	happy invitation was accepted	happy invitation was accepted	happy	-7.18722	-6.09297
1	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	سپاسگزارم. <br /> خوشحال <br /> خوشحال.	0.62	0.0	## شخص ایکس دعوت شخص دیگری را می پذیرد ## ##	fa2fa	سپاسگزارم	oReact	<oReact>  شخص ایکس دعوت شخص دیگری را می پذیرد <gen_fa>  <extra_id_0>	1	0.0	دعوت با خوشحالی پذیرفته شد	دعوت با خوشحالی پذیرفته شد	خوشحال.	-3.67027	-2.84013
1	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	سپاسگزارم. <br /> خوشحال <br /> سپاسگزار.	0.6	0.0	## ## ## ## ## شخص ایکس دعوت شخص دیگری را می پذیرد ## ## ## ## ## ##	fa2fa	سپاسگزارم	oReact	<oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  شخص ایکس دعوت شخص دیگری را می پذیرد <oReact_fa_0>  <oReact_fa_1>  <oReact_fa_2>  <oReact_fa_3>  <oReact_fa_4>  <extra_id_0>	1	0.0	دعوت با خوشحالی پذیرفته شد	دعوت با خوشحالی پذیرفته شد	خوشحال	-3.67027	-2.84013
1	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> gets thanked by PersonX	0.59	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ##	en2en	gets excited	oReact	PersonX accepts PersonY invitation  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	1	0.0	happy invitation was accepted	happy invitation was accepted	gets thanked	-6.70463	-6.09297
1	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to accept PersonY's invite <br /> to accept PersonY's invite. <br /> gets arrested	0.75	0.0	## PersonX accepts PersonY invitation ##	en2en	to accept PersonY's invite	oReact	<oReact>  PersonX accepts PersonY invitation <extra_id_0>	1	0.0	happy invitation was accepted	happy invitation was accepted	to accept PersonY's invite	-5.27013	-6.09297
10	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be accepted <br /> to be helpful	0.55	0.0	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	happy	oReact	PersonX accepts PersonY offer  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	10	0.0	giving	giving	to be accepted	-7.16488	-6.90969
10	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	سپاسگزارم. <br /> خوشحال <br /> رضایت خاطر	0.59	0.0	## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ##	fa2fa	سپاسگزارم	oReact	<oReact>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <gen_fa>  <extra_id_0>	10	0.0	بخشیدن	بخشیدن	رضایت خاطر	-3.65725	-4.05744
10	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	سپاسگزارم. <br /> خوشحال از اینکه شخص ایکس پیشنهاد دیگری را می پذیرد. <br /> خوشحال از اینکه شخص ایکس پیشنهاد دیگری را بپذیرد.	0.43	0.0	## ## ## ## ## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ## ## ## ## ##	fa2fa	سپاسگزارم	oReact	<oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <oReact_fa_0>  <oReact_fa_1>  <oReact_fa_2>  <oReact_fa_3>  <oReact_fa_4>  <extra_id_0>	10	0.0	بخشیدن	بخشیدن	سپاسگزارم.	-3.65725	-4.05744
10	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> gets thanked by PersonY	0.6	0.0	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	gets thanked	oReact	PersonX accepts PersonY offer  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	10	0.0	giving	giving	gets thanked	-6.99633	-6.90969
10	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to accept the offer. <br /> to accept the offer	0.55	0.0	## PersonX accepts PersonY offer ##	en2en	to be helpful	oReact	<oReact>  PersonX accepts PersonY offer <extra_id_0>	10	0.0	giving	giving	to accept the offer	-6.28555	-6.90969
100	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> to make PersonY's work.	0.72	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	happy	oReact	PersonX amends PersonY act  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	100	0.0	grateful	grateful	happy	-7.509460000000001	-6.95860
