input_text	prefix	target_text
analyst	CapableOf	value common stock
anarchist	CapableOf	carry banner
asexual fish	CapableOf	dominate in extreme environments
athlete	CapableOf	attempt to set record
athlete	CapableOf	bicycle for many miles
athlete	CapableOf	break record
athlete	CapableOf	miss ball
athlete	CapableOf	prepare for competition
auctioneer	CapableOf	number paintings for auction
bike mechanic	CapableOf	fix bikes
bricklayer	CapableOf	wall up opening
captain	CapableOf	man ship
chameleon	CapableOf	reach very far with tongue
citizen	CapableOf	choose candidate in election
citizen	CapableOf	vote
clapper	CapableOf	ring bell
close friend	CapableOf	call by nickname
clown	CapableOf	delight children
cornerback	CapableOf	return pass
curator	CapableOf	help to plan exhibition
dalmations	CapableOf	ride on fire trucks
damage to brain	CapableOf	cause loss of memories
detective	CapableOf	find missing person
detective	CapableOf	piece together clues
detective	CapableOf	spot criminal
detective	CapableOf	tail suspect husband
energetic person	CapableOf	wash own car
evangelist	CapableOf	gather followers
even powerful person	CapableOf	throw up
exhibitionist	CapableOf	raise skirt
fbi agent	CapableOf	bug office
foal	CapableOf	stand hour after birth
gardener	CapableOf	hill potatoes
gardener	CapableOf	pick weeds
gardener	CapableOf	plant shrub
gardener	CapableOf	rake leaves
gardener	CapableOf	seed to grow vegetables
gardener	CapableOf	stock canned home grown vegetables
gardener	CapableOf	thin garden of weeds
gardener	CapableOf	turn garden
gardener	CapableOf	water garden
gardener	CapableOf	water plants
good captain	CapableOf	right boat
hypocrite	CapableOf	act like friend
ibm	CapableOf	ship computers all over world
journalist	CapableOf	report news
knight	CapableOf	charging into battle
knight	CapableOf	ride horse
merchant	CapableOf	get paid
mormon	CapableOf	travel to europe
painter	CapableOf	coat wall
painter	CapableOf	do painting
painter	CapableOf	letter sign
performer	CapableOf	dance
pianist	CapableOf	master piece
prep cook	CapableOf	cut zucchini
prosecutor	CapableOf	present evidence
prostitute	CapableOf	service client
rabid dog	CapableOf	spread disease
recipient	CapableOf	except gift
recipient	CapableOf	thank giver
robin	CapableOf	mother chicks
rock star	CapableOf	sign picture
sarcastic comic	CapableOf	needle audience
scapegoat	CapableOf	shoulder blame
schoolchildren	CapableOf	miss bell
showgirl	CapableOf	dance can can
shyster	CapableOf	sell broken goods
signmaker	CapableOf	letter sign
stagehand	CapableOf	open curtains
torturer	CapableOf	subject victim
typist	CapableOf	stop typing
voter	CapableOf	object to issues
voter	CapableOf	voice opinion
young lady	CapableOf	care to dance
alto	CapableOf	high pitched voice
captain	CapableOf	commanding ship
captain	CapableOf	commanding starship
captain	CapableOf	commanding vessel
captain	CapableOf	lead team
captain	CapableOf	telling people what to do
merchant	CapableOf	selling
merchant	CapableOf	selling things
painter	CapableOf	coat walls
athlete	CapableOf	decide to train
clown	CapableOf	blow up balloon
carnival worker	CapableOf	guess weight
clown	CapableOf	wave to audiance
merchant	CapableOf	selling products
robin	CapableOf	winter down south
sportsman	CapableOf	reach finish
knight	CapableOf	company lord
citizen	CapableOf	question policy
mockingbird	CapableOf	sing many songs
shopkeeper	CapableOf	charge money for products
pusher	CapableOf	supply drugs to addict
gardener	CapableOf	garden plants
only sailor	CapableOf	sail seas
gardener	CapableOf	seed lawn
bookie	CapableOf	place bet
anarchist	CapableOf	agitate
copilot	CapableOf	ready to launch
captain	CapableOf	man vessel
shopkeeper	CapableOf	right display
door to door salesman	CapableOf	selling encyclopedias
homemaker in family	CapableOf	prepare meal
typist	CapableOf	type companies documents
handyman	CapableOf	doctor broken appliance
sleazy broad	CapableOf	attempt to steal husband
journalist	CapableOf	out celebrity
athlete	CapableOf	wash car
painter	CapableOf	paint wall
gardener	CapableOf	thin seedlings
executive	CapableOf	bicycle to work
clown	CapableOf	act strange
civilian	CapableOf	report crime
gunner	CapableOf	man position
computer scientist	CapableOf	designing algorithm
captain	CapableOf	sailing boat
yogi	CapableOf	fast for long time
hurt person	CapableOf	wall off feelings
captain	CapableOf	commanding ship's crew
auctioneer	CapableOf	shout price
gardener	CapableOf	seed flower bed
loser	CapableOf	experience defeat
captain	CapableOf	commanding sailing vessel
baseball pitcher	CapableOf	perfect throw
groundskeeper	CapableOf	start lawn mower
flea	CapableOf	jump
clown	CapableOf	appear confused
dishonest person	CapableOf	doctor results
painter	CapableOf	coat wall with paint
detective	CapableOf	miss clue
stallion	CapableOf	service mare
card player	CapableOf	holding best cards
shopkeeper	CapableOf	price goods selling
gardener	CapableOf	water flowers
captain	CapableOf	singing pop songs with tenniel
captain	CapableOf	leadership
gardener	CapableOf	water herb garden
gardener	CapableOf	plant seed
athlete	CapableOf	jump high
clown	CapableOf	blow balloon up fast
captain	CapableOf	command of ship at sea
captain	CapableOf	captain boat
detective	CapableOf	question witness
citizen	CapableOf	honor country
captain	CapableOf	directing people
naughty child	CapableOf	lie to parents
alto	CapableOf	singing
bricklayer	CapableOf	build house
detective	CapableOf	hunt for clues
prosecutor	CapableOf	state case
stripper	CapableOf	showing breasts to
athlete	CapableOf	run marathon
captain	CapableOf	commanding submarine
gardener	CapableOf	grow plant
merchant	CapableOf	trading goods
pianist	CapableOf	play piano
psychologist	CapableOf	condition subject
renaissance man	CapableOf	do many different things
card player	CapableOf	deal cards
terrorist	CapableOf	plan attac
alto	CapableOf	sing
firefighter	CapableOf	put out fire
gardener	CapableOf	garden garden
captain	CapableOf	ring bell
painter	CapableOf	spend time on preliminary sketches
listener	CapableOf	hear radio program
gardener	CapableOf	plant plants
athlete	CapableOf	sprint
listener	CapableOf	like music
sensitive person	CapableOf	take umbrage
police man	CapableOf	fire gun
salior	CapableOf	weather storm
performer	CapableOf	win kudos
gardener	CapableOf	plant tree
sculptor	CapableOf	form piece of art
gardener	CapableOf	pick flowers
knight	CapableOf	storm castle
