Unnamed: 0	prefix	input_text	target_text
42177	oEffect	PersonX abolishes the ___ altogether	the people lost the documents
42171	oReact	PersonX abolishes the ___ altogether	disrespected
42181	oWant	PersonX abolishes the ___ altogether	to publish an article
42196	xAttr	PersonX abolishes the ___ altogether	influencial
42179	xEffect	PersonX abolishes the ___ altogether	lost the data
42172	xIntent	PersonX abolishes the ___ altogether	to do it his way
42183	xNeed	PersonX abolishes the ___ altogether	find a lawyer
42173	xReact	PersonX abolishes the ___ altogether	like he's the boss
42186	xWant	PersonX abolishes the ___ altogether	to write a paper
472042	oEffect	PersonX about to get married	their partner is in a legal relationship
472039	oReact	PersonX about to get married	happy
472057	oWant	PersonX about to get married	to go on vacation
472062	xAttr	PersonX about to get married	excited
472044	xEffect	PersonX about to get married	they are in a legal relationship
472037	xIntent	PersonX about to get married	to share his life with someone
472059	xNeed	PersonX about to get married	to really like them
472038	xReact	PersonX about to get married	like he has someone he feels that way about
472060	xWant	PersonX about to get married	to go on a honey moon
271843	oEffect	PersonX accepts PersonY appointment	persony taps their foot while waiting
271839	oReact	PersonX accepts PersonY appointment	happy
271854	oWant	PersonX accepts PersonY appointment	to follow up with PersonX
271865	xAttr	PersonX accepts PersonY appointment	dependent.
271851	xEffect	PersonX accepts PersonY appointment	swears an oath
271833	xIntent	PersonX accepts PersonY appointment	to have a job
271856	xNeed	PersonX accepts PersonY appointment	to reserve appointment space
271835	xReact	PersonX accepts PersonY appointment	confident
271858	xWant	PersonX accepts PersonY appointment	to follow up with PersonY
116885	oEffect	PersonX accepts PersonY thanks	feel even
116876	oReact	PersonX accepts PersonY thanks	grateful
116902	oWant	PersonX accepts PersonY thanks	to help him
116912	xAttr	PersonX accepts PersonY thanks	gracious
116887	xEffect	PersonX accepts PersonY thanks	feels grateful
116877	xIntent	PersonX accepts PersonY thanks	to be gracious
116897	xNeed	PersonX accepts PersonY thanks	to get talk to Y
116878	xReact	PersonX accepts PersonY thanks	appreciated
116905	xWant	PersonX accepts PersonY thanks	to give him a treat
570750	oEffect	PersonX accepts PersonY's proposal	signs the paper
570736	oReact	PersonX accepts PersonY's proposal	excited
570754	oWant	PersonX accepts PersonY's proposal	to make plans
570775	xAttr	PersonX accepts PersonY's proposal	cooperative
570753	xEffect	PersonX accepts PersonY's proposal	earns some money
570737	xIntent	PersonX accepts PersonY's proposal	wants to get married
570756	xNeed	PersonX accepts PersonY's proposal	to date
570739	xReact	PersonX accepts PersonY's proposal	happy
570759	xWant	PersonX accepts PersonY's proposal	to marry
82621	oEffect	PersonX accepts PersonY's resignation	get's to retire
82612	oReact	PersonX accepts PersonY's resignation	happy
82625	oWant	PersonX accepts PersonY's resignation	curse PersonX out
82636	xAttr	PersonX accepts PersonY's resignation	Understanding
82623	xEffect	PersonX accepts PersonY's resignation	needs to find another worker
82613	xIntent	PersonX accepts PersonY's resignation	to be sincere
82627	xNeed	PersonX accepts PersonY's resignation	reprimand PersonY
82611	xReact	PersonX accepts PersonY's resignation	worried
82630	xWant	PersonX accepts PersonY's resignation	shake PersonYs hand
2577	oEffect	PersonX accepts one 's ___	people trust PersonX
2561	oReact	PersonX accepts one 's ___	happy to see a kind person
2580	oWant	PersonX accepts one 's ___	to critique person X's work
2598	xAttr	PersonX accepts one 's ___	motivated
2579	xEffect	PersonX accepts one 's ___	keeps their integrity
2568	xIntent	PersonX accepts one 's ___	good life partner
2587	xNeed	PersonX accepts one 's ___	to evaluate himself/herself
2569	xReact	PersonX accepts one 's ___	happy
2585	xWant	PersonX accepts one 's ___	to get paid
449672	oEffect	PersonX accepts the dare	watches PersonX
449667	oReact	PersonX accepts the dare	amused
449689	oWant	PersonX accepts the dare	watch PersonX do it
449697	xAttr	PersonX accepts the dare	Adventurous
449674	xEffect	PersonX accepts the dare	performs dare
449661	xIntent	PersonX accepts the dare	to prove his bravery
449691	xNeed	PersonX accepts the dare	to be challenged
449665	xReact	PersonX accepts the dare	nervous
449684	xWant	PersonX accepts the dare	To gain respect
252903	oEffect	PersonX accompanies PersonY far	PersonY has gone a long way.
252899	oReact	PersonX accompanies PersonY far	wanted
252925	oWant	PersonX accompanies PersonY far	to shake hands with person X
252932	xAttr	PersonX accompanies PersonY far	useful
252904	xEffect	PersonX accompanies PersonY far	PersonX has gone elsewhere.
252897	xIntent	PersonX accompanies PersonY far	to keep person y company
252921	xNeed	PersonX accompanies PersonY far	to walk with PersonY
252901	xReact	PersonX accompanies PersonY far	happy
252928	xWant	PersonX accompanies PersonY far	to tell person Y not to travel alone
115758	oEffect	PersonX accompanies by PersonX's wife	PersonX's face blushes
115748	oReact	PersonX accompanies by PersonX's wife	thankful
115767	oWant	PersonX accompanies by PersonX's wife	to get to their destination
115773	xAttr	PersonX accompanies by PersonX's wife	kind
115760	xEffect	PersonX accompanies by PersonX's wife	PersonX's hands are held
115753	xIntent	PersonX accompanies by PersonX's wife	to be with wife
115769	xNeed	PersonX accompanies by PersonX's wife	to get their wife
115755	xReact	PersonX accompanies by PersonX's wife	fine
115771	xWant	PersonX accompanies by PersonX's wife	to get to their destination
105610	oEffect	PersonX accomplishes PersonX's mission	receives new information
105606	oReact	PersonX accomplishes PersonX's mission	grateful
105631	oWant	PersonX accomplishes PersonX's mission	to reward PersonX
105642	xAttr	PersonX accomplishes PersonX's mission	pleased
105615	xEffect	PersonX accomplishes PersonX's mission	gets a reward for the contribution
105604	xIntent	PersonX accomplishes PersonX's mission	to reach the goal
105632	xNeed	PersonX accomplishes PersonX's mission	to understand their mission
105608	xReact	PersonX accomplishes PersonX's mission	proud
105634	xWant	PersonX accomplishes PersonX's mission	to congratulate themselves
128926	oEffect	PersonX accomplishes PersonY's objectives	gets in trouble
128917	oReact	PersonX accomplishes PersonY's objectives	grateful for the help.
128941	oWant	PersonX accomplishes PersonY's objectives	to not let PersonX go
128951	xAttr	PersonX accomplishes PersonY's objectives	hard working
128927	xEffect	PersonX accomplishes PersonY's objectives	finishes tasks
128918	xIntent	PersonX accomplishes PersonY's objectives	to help.
128943	xNeed	PersonX accomplishes PersonY's objectives	to talk to PersonY
128919	xReact	PersonX accomplishes PersonY's objectives	helpful.
128945	xWant	PersonX accomplishes PersonY's objectives	to congratulate PersonY
651180	oEffect	PersonX accomplishes PersonY's work	grateful
651165	oReact	PersonX accomplishes PersonY's work	lacking
651183	oWant	PersonX accomplishes PersonY's work	to thank person x
651201	xAttr	PersonX accomplishes PersonY's work	helpful
651181	xEffect	PersonX accomplishes PersonY's work	gets caught
651161	xIntent	PersonX accomplishes PersonY's work	to make sure the work is done
